"Magnetic Susceptibility (emu/g Oe)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/06/16, 14:28:36",
,
Temperature (K),Magnetic Susceptibility (emu/g Oe)
56,
1.9112,-0.0243913
2.08494,-0.0243913
2.20077,-0.0243043
2.3166,-0.0243043
2.47104,-0.0243043
2.62548,-0.0243043
2.76062,-0.0243043
2.89575,-0.0242174
3.05019,-0.0242174
3.20463,-0.0242174
3.35907,-0.0241304
3.49421,-0.0240435
3.61004,-0.0239565
3.80309,-0.0237826
3.89961,-0.0236957
3.99614,-0.0235217
4.07336,-0.0233478
4.18919,-0.023
4.26641,-0.0228261
4.30502,-0.0225652
4.38224,-0.0223913
4.45946,-0.0218696
4.6332,-0.0207391
4.72973,-0.0199565
4.82625,-0.0184783
4.94208,-0.017087
5.03861,-0.0153478
5.11583,-0.0136957
5.21236,-0.0116087
5.34749,-0.00978261
5.42471,-0.00847826
5.57915,-0.0063913
5.65637,-0.00526087
5.71429,-0.00421739
5.86873,-0.00308696
5.90734,-0.00186957
6.04247,-0.00117391
6.10039,-0.00073913
6.19691,-0.000217391
6.25483,-4.35E-05
6.37066,-4.35E-05
6.5251,-4.35E-05
6.71815,-4.35E-05
6.87259,-4.35E-05
7.12355,-4.35E-05
7.39382,-0.000130435
7.66409,-4.35E-05
7.89575,-4.35E-05
8.0695,-4.35E-05
8.4556,-4.35E-05
8.62934,4.35E-05
8.97683,4.35E-05
9.30502,-4.35E-05
9.6139,-0.000130435
9.86487,-0.000130435
10.0193,-4.35E-05
,
55,
1.79537,-0.00482609
1.89189,-0.00482609
2.00772,-0.00473913
2.16216,-0.00473913
2.2973,-0.00473913
2.47104,-0.00482609
2.64479,-0.00482609
2.76062,-0.00482609
3.10811,-0.00473913
3.22394,-0.00465217
3.35907,-0.00465217
3.41699,-0.00465217
3.51351,-0.00456522
3.61004,-0.00456522
3.70656,-0.00447826
3.88031,-0.0043913
4.03475,-0.00430435
4.15058,-0.00421739
4.26641,-0.00413043
4.38224,-0.00404348
4.51737,-0.00386957
4.67181,-0.00386957
4.80695,-0.0036087
4.94208,-0.00326087
5.09653,-0.00308696
5.23166,-0.00273913
5.3668,-0.00247826
5.40541,-0.00230435
5.52124,-0.00186957
5.57915,-0.0016087
5.71429,-0.00126087
5.79151,-0.00108696
5.86873,-0.000913044
5.92664,-0.000826087
6.00386,-0.000565217
6.06178,-0.000130435
6.17761,-0.000130435
6.23552,-0.000130435
6.35135,-0.000130435
6.48649,-0.000130435
6.58301,-0.000130435
6.73745,-0.000130435
6.9305,-0.000130435
7.06564,-0.000130435
7.16216,-0.000130435
7.50965,-0.000130435
7.83784,-0.000130435
8.10811,-0.000130435
8.32046,4.35E-05
8.68726,4.35E-05
8.97683,4.35E-05
9.26641,4.35E-05
9.6332,-4.35E-05
9.74903,-4.35E-05
9.98069,4.35E-05
,
58,
1.81467,-0.0204783
1.9305,-0.0204783
2.04633,-0.0203043
2.16216,-0.0203043
2.3166,-0.0202174
2.47104,-0.0199565
2.58687,-0.0199565
2.74131,-0.0196957
2.89575,-0.0196957
3.01158,-0.0195217
3.16602,-0.0192609
3.32046,-0.0192609
3.43629,-0.0191739
3.57143,-0.019
3.72587,-0.0188261
3.91892,-0.0185652
4.01544,-0.0183913
4.11197,-0.0183043
4.2471,-0.0181304
4.34363,-0.0176957
4.6139,-0.0171739
4.71042,-0.016913
4.76834,-0.0166522
4.84556,-0.0159565
4.86486,-0.0157826
5.01931,-0.0152609
5.09653,-0.0143913
5.19305,-0.0135217
5.30888,-0.0127391
5.3668,-0.0119565
5.42471,-0.0115217
5.48263,-0.0108261
5.63707,-0.00986957
5.69498,-0.009
5.79151,-0.00778261
5.90734,-0.00726087
6.04247,-0.00621739
6.11969,-0.0056087
6.21622,-0.00473913
6.35135,-0.00404348
6.37066,-0.00352174
6.42857,-0.00326087
6.50579,-0.00282609
6.5251,-0.00256522
6.62162,-0.0023913
6.77606,-0.00221739
6.94981,-0.00204348
7.04633,-0.00204348
7.23938,-0.00186957
7.41313,-0.00186957
7.72201,-0.00186957
7.89575,-0.00186957
8.26255,-0.00169565
8.68726,-0.00169565
8.91892,-0.00169565
9.51737,-0.0016087
9.72973,-0.0016087
9.94209,-0.0016087
,
59,
1.87259,-0.0108261
2.00772,-0.0108261
2.20077,-0.0106522
2.35521,-0.0104783
2.58687,-0.0104783
2.66409,-0.0104783
2.76062,-0.0103913
2.85714,-0.0100435
2.95367,-0.00995652
3.18533,-0.0100435
3.28185,-0.0100435
3.43629,-0.00986957
3.59073,-0.00969565
3.80309,-0.00943478
3.91892,-0.00943478
4.15058,-0.00908696
4.28571,-0.00891304
4.47876,-0.00865217
4.59459,-0.00830435
4.69112,-0.00821739
4.80695,-0.00813043
4.94208,-0.00778261
4.98069,-0.00743478
5.17375,-0.00717391
5.25097,-0.00682609
5.34749,-0.00656522
5.44402,-0.00630435
5.52124,-0.00604348
5.7722,-0.00534783
5.86873,-0.00482609
5.94595,-0.00430435
6.10039,-0.00386957
6.19691,-0.00352174
6.29344,-0.00317391
6.33205,-0.00291304
6.44788,-0.00247826
6.5444,-0.00221739
6.60232,-0.00213043
6.67954,-0.00204348
6.81467,-0.00195652
6.9112,-0.00195652
7.00772,-0.00195652
7.16216,-0.00195652
7.33591,-0.00195652
7.50965,-0.00195652
7.6834,-0.00195652
7.87645,-0.00195652
7.93436,-0.00195652
8.05019,-0.00195652
8.28185,-0.00178261
8.4749,-0.00169565
8.72587,-0.00169565
8.8417,-0.00169565
9.20849,-0.00169565
9.34363,-0.00178261
9.6332,-0.00169565
9.72973,-0.00169565
9.88417,-0.00169565
10,-0.0016087
,
58,
1.79537,-0.0251844
2.3166,-0.0248386
2.54826,-0.0244928
2.6834,-0.024147
2.77992,-0.0239741
2.95367,-0.0237147
3.0888,-0.0234553
3.18533,-0.0232824
3.26255,-0.0231095
3.33977,-0.0229366
3.37838,-0.0227637
3.4556,-0.0225043
3.64865,-0.0218127
3.78378,-0.0215533
3.861,-0.021121
3.95753,-0.0207752
4.05405,-0.0206023
4.13127,-0.0204294
4.15058,-0.0199971
4.20849,-0.0197378
4.28571,-0.0195648
4.30502,-0.019219
4.36293,-0.0190461
4.42085,-0.0184409
4.51737,-0.0179222
4.57529,-0.0174035
4.6332,-0.0166254
4.72973,-0.0162795
4.72973,-0.0158473
4.82625,-0.0149827
4.90347,-0.0145504
4.94208,-0.0141182
5,-0.0136859
5.05792,-0.0132536
5.11583,-0.012562
5.17375,-0.0121297
5.19305,-0.0116974
5.23166,-0.0113516
5.30888,-0.0105735
5.40541,-0.00970893
5.48263,-0.00910375
5.61776,-0.00789337
5.7529,-0.00720173
5.7529,-0.006683
5.81081,-0.00616427
5.88803,-0.00581844
6.08108,-0.00452161
6.11969,-0.00400288
6.21622,-0.00339769
6.29344,-0.00313833
6.35135,-0.00287896
6.40927,-0.00253314
6.40927,-0.00210086
6.44788,-0.0018415
6.50579,-0.00149568
6.5251,-0.00114986
6.64093,-0.000631124
6.73745,-0.000544669
6.83398,-0.000544669
6.94981,-0.000458213
7.08494,-0.000458213
7.20077,-0.000458213
7.37452,-0.000458213
7.49035,-0.000458213
7.60618,-0.000458213
7.81853,-0.000458213
7.97297,-0.000458213
8.26255,-0.000458213
8.4556,-0.000458213
8.62934,-0.000544669
8.74517,-0.000544669
8.99614,-0.000544669
9.18919,-0.000544669
9.36293,-0.000544669
9.53668,-0.000544669
9.69112,-0.000544669
9.84556,-0.000544669
9.98069,-0.000458213
,
53,
1.89189,-0.00595652
1.96911,-0.00595652
2.12355,-0.00595652
2.43243,-0.00586957
2.62548,-0.00586957
2.81853,-0.00569565
3.0888,-0.00569565
3.20463,-0.0056087
3.39768,-0.00543478
3.55212,-0.00534783
3.66795,-0.00526087
3.72587,-0.00517391
3.861,-0.00508696
3.99614,-0.00491304
4.16988,-0.00491304
4.28571,-0.00473913
4.49807,-0.00447826
4.69112,-0.0043913
4.88417,-0.00404348
5,-0.00404348
5.17375,-0.00352174
5.27027,-0.00352174
5.3668,-0.00334783
5.50193,-0.00308696
5.61776,-0.00282609
5.69498,-0.00265217
5.83012,-0.00247826
6.00386,-0.00221739
6.139,-0.00178261
6.25483,-0.0016087
6.35135,-0.00134783
6.5251,-0.00108696
6.56371,-0.00108696
6.67954,-0.000913044
6.9305,-0.000826087
7.10425,-0.000826087
7.27799,-0.000826087
7.45174,-0.000826087
7.62548,-0.000826087
7.93436,-0.000652174
8.16602,-0.000652174
8.30116,-0.00073913
8.33977,-0.00073913
8.41699,-0.00073913
8.53282,-0.00073913
8.74517,-0.00073913
8.88031,-0.00073913
9.09266,-0.001
9.28571,-0.00073913
9.44015,-0.00073913
9.51737,-0.00073913
9.80695,-0.000478261
10,-0.000478261
