    beta''-(ET)2SF5CH2CF2SO3 	
	dTc/dP (K/kbar)
b axis (in plane)	3.9
a-axis (in plane)	0.39
c-axis (⊥ plane)	-5.9
volume (hydrostatic pressure)	-1.6

	Hc2(0)  T
Hc2(0)//plane	10.4
Hc2(0)⊥plane  	1.4

	coherence length (A)
zeta//	144
zeta⊥	7.9
    
    
