"smid (r)(B/Bc2), created by Plot Digitizer, 2.6.8"
"Date: 22/02/07, 13:16:10"


24
B/Bc2,smid (r)
0.00285714,0.0617647,
0.0152381,0.100000,
0.0295238,0.152941,
0.143810,0.600000,
0.00285714,0.00588235,
0.0276190,0.0147059,
0.0580952,0.138235,
0.115238,0.267647,
0.192381,0.350000,
0.270476,0.500000,
0.384762,0.632353,
0.0104762,0.0147059,
0.0190476,0.0176471,
0.0361905,0.0323529,
0.0476190,0.0411765,
0.0666667,0.0617647,
0.112381,0.182353,
0.222857,0.300000,
0.445714,0.502941,
0.00285714,0,
0.168571,0.0294118,
0.334286,0.135294,
0.500952,0.294118,
0.420952,0.100000,
