"Resistivity (Wcm)(Oxygen partial pressure (Torr)), created by Plot Digitizer, 2.6.8"
"Date: 21/01/22, 11:04:36"


5
Oxygen partial pressure (Torr),Resistivity (Wcm)
1.00000e-07,0.000310391,
9.80942e-07,0.000349695,
9.62248e-06,0.00928191,
9.93607e-05,6.53934,
0.000974671,37117.5,
