---------			
FIGNO:HC150033			
"XPROP:T/Tc ,  Tc=21.3"			
XUNIT:			
YPROP:Hc2			
YUNIT:T			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.469	53.5	1	1
0.589	48	1	2
0.704	42	1	3
0.822	32.8	1	4
0.941	17.1	1	5
1.002	0	1	6
0	74.3	Hc2(0)	
0.002	169.8	WHH	
