figno     	xdata      	ydata      	pdata      	number       
SP1371    	-0.593	19.016	1	1
SP1371    	0.593	16.779	1	2
SP1371    	5.333	14.541	1	3
SP1371    	12.444	15.66	1	4
SP1371    	18.37	17.897	1	5
SP1371    	25.482	20.134	1	6
SP1371    	32.593	22.371	1	7
SP1371    	39.704	24.608	1	8
SP1371    	45.63	26.846	1	9
SP1371    	52.741	29.083	1	10
SP1371    	58.667	32.438	1	11
SP1371    	64.593	35.794	1	12
SP1371    	72.889	39.15	1	13
SP1371    	80	42.506	1	14
SP1371    	87.111	45.861	1	15
SP1371    	93.037	49.217	1	16
SP1371    	100.148	51.454	1	17
SP1371    	108.444	54.81	1	18
SP1371    	114.37	59.284	1	19
SP1371    	121.481	63.758	1	20
SP1371    	128.593	65.996	1	21
SP1371    	134.519	70.47	1	22
SP1371    	141.63	74.944	1	23
SP1371    	148.741	78.3	1	24
SP1371    	155.852	82.774	1	25
SP1371    	162.963	87.248	1	26
SP1371    	170.074	91.723	1	27
SP1371    	170.074	91.723	1	28
SP1371    	177.185	95.078	1	29
SP1371    	183.111	98.434	1	30
SP1371    	189.037	102.908	1	31
SP1371    	196.148	107.383	1	32
SP1371    	203.259	112.975	1	33
SP1371    	210.37	117.45	1	34
SP1371    	217.481	121.924	1	35
SP1371    	224.593	127.517	1	36
SP1371    	230.519	133.11	1	37
SP1371    	237.63	137.584	1	38
SP1371    	244.741	142.058	1	39
SP1371    	251.852	146.532	1	40
SP1371    	257.778	151.007	1	41
SP1371    	257.778	151.007	1	42
SP1371    	263.704	155.481	1	43
SP1371    	268.444	157.718	1	45
SP1371    	270.815	161.074	1	44
SP1371    	276.741	165.548	1	46
SP1371    	283.852	170.022	1	47
SP1371    	283.852	170.022	1	48
SP1371    	289.778	175.615	1	49
SP1371    	296.889	180.089	1	50
SP1371    	302.815	183.445	1	51
SP1371    	308.741	186.801	1	52
SP1371    	313.481	191.275	1	53
SP1371    	319.407	197.987	1	54
SP1371    	324.148	201.342	1	55
SP1371    	330.074	204.698	1	56
SP1371    	336	209.172	1	57
SP1371    	339.556	211.409	1	58
SP1371    	347.852	213.647	1	59
SP1371    	351.407	215.884	1	60
SP1371    	356.148	222.595	1	61
SP1371    	360.889	227.069	1	62
SP1371    	364.444	231.544	1	63
SP1371    	368	233.781	1	64
SP1371    	372.741	238.255	1	65
SP1371    	376.296	240.492	1	66
SP1371    	376.296	240.492	1	67
SP1371    	385.778	244.966	1	68
SP1371    	389.333	247.204	1	69
SP1371    	394.074	249.441	1	70
