"D (arb. units)(Temperature (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/01/17, 15:49:22"


7
Temperature (K),D (arb. units)
17.8481,0.470370,
55.0633,0.422222,
77.0886,0.250000,
88.1013,0.211111,
88.8608,0.190741,
90,0.0703704,
91.5190,0.00185185,
