"cnem(Temperature )\(K)), created by Plot Digitizer, 2.6.8",
"Date: 21/12/06, 15:44:53",
,
,
94,
Temperature )\(K),cnem
14.2327,25.9861
16.7079,19.4896
18.5644,24.1299
20.4208,31.3689
22.2772,19.6752
26.6089,21.1601
24.1337,22.8306
27.8465,24.6868
33.4158,25.058
30.3218,26.7285
34.0347,32.297
36.5099,33.0394
37.7475,34.8956
40.2228,40.6497
42.698,45.8469
43.9356,48.4455
46.4109,56.9838
48.2673,59.5824
50.1238,66.2645
51.9802,70.7193
53.8366,73.5035
56.3119,77.7726
57.5495,80.5568
60.0248,80
62.5,80.9281
63.7376,81.2993
65.5941,80.7425
66.8317,80.1856
68.6881,79.6288
72.401,78.5151
73.6386,76.2877
77.9703,75.174
81.0644,71.0905
84.7772,70.1624
86.0149,67.7494
87.2525,66.8213
89.7277,66.2645
89.7277,65.522
91.5842,64.9652
92.203,63.8515
93.4406,62.181
95.297,60.3248
99.0099,57.9118
99.6287,56.2413
102.104,55.4988
104.579,52.529
105.817,51.4153
108.911,49.1879
108.911,48.0742
108.911,47.703
112.005,46.0325
113.243,45.29
116.337,41.7633
116.955,40.0928
121.287,38.9791
123.144,37.4942
125,36.3805
127.475,35.0812
128.094,33.9675
128.094,33.4107
131.188,32.297
133.045,30.6264
134.901,29.884
137.995,28.5847
140.47,26.9142
143.564,26.1717
144.183,25.2436
146.04,24.1299
150.371,22.8306
155.322,21.3457
157.797,20.7889
161.51,19.6752
167.079,18.5615
171.411,16.891
175.743,17.6334
177.599,16.891
183.168,15.9629
184.406,15.5916
192.451,13.5499
197.401,13.1787
215.965,10.0232
203.589,12.2506
206.683,11.6937
209.777,11.3225
212.871,10.7657
244.431,6.86775
222.153,9.28074
224.629,8.7239
227.723,8.35267
233.911,8.16705
237.005,7.23898
240.099,7.23898
245.668,6.3109
250,5.56845
