"R/RN(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 23/02/21, 11:02:40",
,
,
37,
T (K),R/RN
1.88169,2.22E-16
3.04225,2.22E-16
3.08732,0.00346021
3.10423,0.0103806
3.11549,0.0207612
3.13239,0.0449827
3.13803,0.0934256
3.1493,0.176471
3.16056,0.252595
3.1662,0.301038
3.17183,0.387543
3.1831,0.467128
3.19437,0.536332
3.2,0.608997
3.20563,0.688581
3.22254,0.750865
3.23944,0.792388
3.25634,0.84083
3.2507,0.875433
3.26197,0.892734
3.26761,0.916955
3.27324,0.934256
3.30141,0.948097
3.34085,0.958477
3.40282,0.961938
3.44225,0.972318
3.48732,0.972318
3.54366,0.979239
3.6,0.979239
3.66197,0.982699
3.71831,0.982699
3.79155,0.989619
3.86479,0.989619
3.93239,0.986159
3.98873,0.99308
4.0507,0.99308
4.08451,0.99308
