"r (mWcm)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 23/09/14, 12:09:45",
,
,
15,0nm
Temperature (K),r (mWcm)
5.34979,231.928
15.6379,238.956
29.6296,245.984
48.1481,260.04
76.9547,316.265
111.934,456.827
150.617,667.671
193.827,1026.1
224.28,1377.51
244.444,1707.83
256.79,1974.9
272.016,2340.36
282.716,2712.85
290.123,3043.17
299.588,3492.97
,
23,5.1nm
4.93827,14.0562
27.9835,7.02811
31.6872,35.1406
35.8025,119.478
37.8601,154.618
39.9177,189.759
41.5638,224.9
44.0329,253.012
49.3827,274.096
59.6708,288.153
78.6008,328.153
86.8313,358.434
118.93,491.968
144.444,632.53
169.136,808.233
189.3,969.88
206.173,1131.53
232.51,1433.73
251.852,1735.94
267.901,2052.21
281.481,2389.56
299.588,2979.92
299.588,2979.92
,
29,6.8nm
3.7037,0
45.679,0
62.1399,0
64.6091,42.1687
67.0782,126.506
69.5473,203.815
73.251,260.04
75.7202,302.209
79.8354,323.293
93.8272,344.378
92.5926,358.434
106.996,407.631
118.107,442.771
129.63,484.94
137.037,520.08
148.148,576.305
155.967,611.446
166.255,646.586
176.132,681.727
180.247,723.896
193.004,787.149
203.292,857.43
213.992,920.683
229.218,1026.1
253.498,1229.92
265.021,1342.37
276.132,1454.82
286.42,1574.3
299.177,1742.97
,
34,8.5nm
3.7037,0
65.8436,0
61.7284,0
64.6091,7.02811
65.8436,49.1968
67.4897,105.422
69.5473,147.59
71.6049,189.759
74.0741,238.956
83.5391,309.237
89.7119,330.321
98.7654,358.434
108.23,386.546
116.461,414.659
123.868,449.799
132.099,470.884
143.21,513.052
152.675,562.249
162.963,604.418
188.889,744.98
199.588,801.205
210.7,885.542
220.576,941.767
225.926,983.936
236.214,1061.24
243.621,1110.44
248.971,1166.67
253.909,1208.84
259.671,1272.09
269.136,1356.43
274.074,1419.68
281.893,1496.99
289.3,1595.38
300,1721.89
,
35,10.2nm
2.88066,0
27.9835,0
51.8519,0
73.251,0
79.0123,0
80.2469,14.0562
81.893,49.1968
83.1276,84.3373
83.9506,119.478
85.5967,140.562
88.8889,161.647
93.4156,168.675
100.823,182.731
107.819,189.759
115.226,203.815
121.399,217.871
127.16,231.928
135.391,238.956
144.033,260.04
155.967,281.125
165.844,302.209
178.601,316.265
188.477,337.349
197.119,365.462
207.407,379.518
218.93,407.631
230.041,435.743
238.683,449.799
245.267,477.912
254.733,506.024
262.963,520.08
271.605,555.221
279.012,576.305
289.712,611.446
299.177,639.558
,
29,11.9nm
3.7037,0
29.6296,0
72.0165,0
79.4239,0
83.9506,42.1687
87.2428,77.3092
93.4156,84.3373
101.235,98.3936
106.173,98.3936
111.934,98.3936
119.342,112.45
126.749,119.478
142.387,133.534
153.498,133.534
169.136,168.675
177.778,168.675
188.889,189.759
197.942,189.759
206.584,196.787
216.049,203.815
225.103,196.787
233.745,217.871
241.975,231.928
253.086,245.984
263.786,253.012
271.605,267.068
279.835,281.125
290.123,295.181
300,309.237
,
28,13.6nm
4.11523,0
79.8354,0
84.3621,0
86.0082,28.1124
89.3004,56.2249
93.4156,77.3092
97.1193,77.3092
103.292,84.3373
109.053,84.3373
115.638,84.3373
122.222,91.3655
128.807,105.422
136.626,105.422
148.971,112.45
160.494,133.534
170.782,140.562
183.128,161.647
194.239,161.647
208.23,161.647
220.165,182.731
241.152,203.815
248.148,217.871
257.202,224.9
266.667,238.956
274.486,245.984
282.305,260.04
293.004,267.068
299.588,281.125
