"Resistivity (mWcm)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/03/11, 11:34:32",
,
,
295,
Temperature (K),Resistivity (mWcm)
5.16923,0.000928793
6.03077,0.00185759
6.89231,0.000928793
7.38462,0.00139319
8.98462,0.00139319
8.98462,0.00325077
9.10769,0.00464396
9.47692,0.00743034
9.84615,0.00882353
10.0923,0.0148607
10.7077,0.0176471
10.8308,0.0287926
11.3231,0.0311146
11.8154,0.0385449
12.0615,0.0496904
12.3077,0.05387
12.6769,0.0636223
13.0462,0.0724458
13.5385,0.0780186
13.6615,0.0803406
14.1538,0.0863777
14.6462,0.0924149
15.1385,0.0979876
15.2615,0.10356
16,0.106347
16.3692,0.110991
16.4923,0.113777
16.8615,0.11517
16.9846,0.117028
17.4769,0.117492
17.6,0.11935
17.7231,0.120279
17.8462,0.120743
18.3385,0.122136
18.5846,0.123994
19.0769,0.125387
19.6923,0.12678
20.4308,0.128173
20.9231,0.129567
21.9077,0.130495
22.8923,0.131889
23.3846,0.132353
24.2462,0.133746
25.4769,0.134211
26.2154,0.135139
27.3231,0.135139
27.9385,0.136068
29.0462,0.136068
29.9077,0.136997
30.6462,0.136997
31.3846,0.137926
32.3692,0.137926
33.2308,0.138854
34.0923,0.138854
34.8308,0.138854
35.5692,0.139783
36.3077,0.139783
37.2923,0.141176
38.4,0.141176
39.2615,0.141176
39.8769,0.139783
5.04615,0.000928793
6.64615,0
7.87692,0
9.10769,0
9.84615,0
11.4462,0.000928793
12.6769,0.000928793
13.5385,0.000928793
14.6462,0.00139319
15.5077,0.000928793
15.7538,0.00139319
16.2462,0.00232198
16.4923,0.00417957
16.7385,0.00510836
16.7385,0.00650155
17.2308,0.0102167
17.8462,0.0171827
18.4615,0.0213622
18.8308,0.0283282
19.0769,0.0343653
19.5692,0.0371517
20.0615,0.0464396
20.1846,0.0543344
20.3077,0.056192
20.9231,0.0575851
21.0462,0.0640867
21.6615,0.0673375
22.0308,0.0729102
22.4,0.073839
22.7692,0.078483
23.7538,0.0863777
23.5077,0.0882353
23.7538,0.0910217
24.1231,0.0924149
25.3538,0.0970588
25.7231,0.102167
25.8462,0.104489
26.0923,0.105882
26.2154,0.107276
26.9538,0.109133
27.5692,0.110526
28.1846,0.11192
28.4308,0.112848
29.0462,0.113777
29.9077,0.11517
30.6462,0.114706
31.5077,0.114241
32.6154,0.114241
33.7231,0.11517
34.2154,0.11517
34.9538,0.11517
36.3077,0.115635
37.7846,0.115635
38.6462,0.117028
39.6308,0.116563
5.29231,0.000928793
6.76923,0.000928793
8.98462,0.00139319
11.4462,-0.000464396
15.0154,0.000928793
17.6,0.000464396
18.7077,0.000464396
20.5538,0.000928793
22.1538,0.000928793
23.1385,0.000928793
24.9846,0.00185759
26.4615,0.00139319
27.4462,0.00139319
28.3077,0.00139319
28.9231,0.000928793
29.5385,0.000464396
29.1692,0.0153251
29.4154,0.0320433
29.6615,0.0436532
29.6615,0.051548
29.9077,0.0529412
30.2769,0.0543344
30.6462,0.0552632
31.2615,0.0547988
31.8769,0.0552632
32,0.0552632
32.7385,0.0557276
33.2308,0.0566563
33.8462,0.0566563
34.3385,0.0571207
35.0769,0.0575851
35.6923,0.0580495
36.4308,0.0575851
37.0462,0.0580495
37.4154,0.0585139
38.2769,0.0599071
38.7692,0.0599071
39.3846,0.0603715
5.29231,0.000928793
8.36923,0.000928793
11.5692,0.000464396
14.4,0.000464396
17.4769,0.000464396
19.8154,-0.000928793
21.6615,0.000928793
23.1385,0.000928793
24.8615,0.000928793
25.7231,0.000928793
26.0923,0.00650155
26.4615,0.0218266
26.7077,0.0241486
27.2,0.0306502
27.9385,0.0315789
28.1846,0.0320433
28.8,0.0325077
29.5385,0.0325077
30.5231,0.0334365
31.6308,0.0343653
32.3692,0.0352941
32.7385,0.0352941
33.7231,0.0357585
33.7231,0.0357585
34.0923,0.0357585
35.0769,0.0371517
36.4308,0.0376161
36.8,0.0380805
37.5385,0.0380805
38.5231,0.0390093
39.2615,0.0394737
5.04615,0.00139319
7.38462,0.00185759
9.72308,0.000928793
11.8154,0.000928793
13.9077,0.000928793
16.4923,0.000928793
17.6,0.000928793
18.7077,0.000464396
20.0615,0.000464396
21.1692,0.000928793
21.4154,0.00278638
21.6615,0.00882353
21.7846,0.0106811
28.5538,0.0153251
22.1538,0.0153251
22.1538,0.0167183
22.5231,0.0176471
23.1385,0.0190402
23.3846,0.019969
23.8769,0.0208978
24.7385,0.0213622
25.4769,0.022291
26.2154,0.0218266
27.0769,0.022291
28.8,0.0232198
29.5385,0.0232198
30.1538,0.0227554
31.2615,0.0236842
32.6154,0.024613
33.3538,0.024613
34.2154,0.0260062
35.6923,0.026935
36.8,0.026935
37.4154,0.026935
37.9077,0.0273994
38.6462,0.0273994
39.2615,0.0283282
5.04615,0.000928793
6.64615,0.000928793
8.12308,0.000928793
10.3385,0.000464396
11.8154,0.000464396
13.2923,0.000464396
13.9077,0.000928793
14.4,0.000928793
14.7692,0.00232198
15.2615,0.00325077
15.5077,0.00417957
15.7538,0.00557276
16,0.00603715
16.7385,0.00743034
17.1077,0.00882353
17.8462,0.00975232
19.9385,0.0130031
20.6769,0.0134675
21.4154,0.0134675
22.2769,0.0130031
23.6308,0.0143963
25.2308,0.0153251
26.4615,0.0153251
27.5692,0.0157895
30.0308,0.0162539
7.63077,0.000928793
31.6308,0.0157895
32.4923,0.0171827
33.7231,0.0167183
35.2,0.0167183
35.6923,0.0171827
36.8,0.0181115
37.5385,0.0176471
38.2769,0.0181115
38.8923,0.0181115
39.8769,0.0185759
5.16923,0.000928793
5.90769,0.000928793
8.73846,0.000928793
9.84615,0.00139319
10.0923,0.00139319
10.5846,0.00278638
10.7077,0.00510836
11.0769,0.00650155
11.2,0.00743034
11.5692,0.00882353
12.0615,0.00975232
13.0462,0.0102167
14.2769,0.0102167
15.5077,0.0106811
16.6154,0.0111455
18.4615,0.0116099
20.1846,0.0116099
21.0462,0.0116099
21.6615,0.0120743
22.6462,0.0125387
23.5077,0.0130031
24.6154,0.0130031
25.4769,0.0134675
26.9538,0.0134675
27.8154,0.0130031
28.6769,0.0130031
29.7846,0.0130031
30.6462,0.0134675
32.2462,0.0143963
33.3538,0.0143963
33.8462,0.0143963
34.5846,0.0148607
35.6923,0.0148607
37.1692,0.0148607
38.0308,0.0157895
38.8923,0.0157895
39.5077,0.0157895
