"r (mWcm)(m0H (T)), created by Plot Digitizer, 2.6.8",
"Date: 21/11/25, 14:53:52",
,
,
25.2055,58.1211
26.1187,59.7912
27.2146,60.6263
28.6758,62.2965
29.4064,63.2985
30.5023,64.4676
31.1416,65.8038
32.3288,67.3069
34.0639,70.1461
34.7032,70.6472
35.4338,71.3152
,
,
30,30K
m0H (T),r (mWcm)
0.547945,42.9228
3.19635,43.4238
4.47489,44.0919
6.0274,44.4259
7.03196,44.9269
8.12785,45.428
9.49772,46.263
10.8676,47.2651
12.0548,48.2672
14.2466,49.6033
14.8858,50.1044
16.1644,50.9395
17.8082,51.7745
18.7215,51.7745
19.2694,52.2756
19.9087,53.1106
21.4612,54.4468
22.6484,55.1148
23.7443,56.2839
25.2968,57.453
26.484,58.1211
28.0365,58.9562
29.2237,59.6242
30.3196,60.6263
30.8676,61.1273
31.6895,61.6284
33.0594,61.7954
33.4247,61.7954
34.2466,62.1294
34.8858,62.4635
,
,
26,40K
m0H (T),r (mWcm)
0.547945,46.263
2.6484,46.4301
4.20091,46.4301
5.57078,47.0981
6.84932,47.2651
8.21918,47.7662
9.22374,48.4342
10.3196,48.4342
12.6941,49.7704
13.79,50.4384
14.6119,50.6054
15.7078,51.4405
19.2694,53.7787
17.2603,51.7745
18.1735,53.1106
20.0913,53.4447
22.3744,56.1169
23.9269,56.618
28.0365,58.2881
29.2237,59.1232
29.9543,59.9582
31.3242,60.4593
32.6027,61.1273
34.0639,61.6284
34.6119,62.1294
34.8858,62.2965
,
,
37,50K
m0H (T),r (mWcm)
0.273973,49.7704
1.18721,49.7704
2.46575,49.9374
3.56164,49.9374
4.10959,49.9374
5.02283,49.9374
6.39269,50.1044
7.30594,50.6054
8.49315,50.4384
9.40639,50.9395
10.6849,51.2735
11.6895,51.2735
12.968,51.7745
13.6073,52.1086
14.1553,51.9415
14.7945,52.6096
15.6164,52.6096
16.5297,52.7766
17.0776,52.9436
18.1735,53.7787
19.726,54.4468
20.5479,54.6138
21.6438,55.1148
22.9224,55.3499
24.0183,55.6159
24.7489,56.1169
25.2968,57.119
26.758,57.62
27.3973,58.4551
29.6804,59.2902
30.5936,60.1253
31.5982,60.9603
32.3288,60.9603
33.3333,61.4614
34.2466,61.4614
35.4338,61.7954
