figno     	xdata      	ydata      	pdata      	number       
SP1375    	82.15	1.338	1	1
SP1375    	82.767	1.343	1	2
SP1375    	83.109	1.346	1	3
SP1375    	83.383	1.348	1	4
SP1375    	83.657	1.35	1	5
SP1375    	84.069	1.353	1	6
SP1375    	84.411	1.355	1	7
SP1375    	85.028	1.359	1	8
SP1375    	85.371	1.364	1	9
SP1375    	85.987	1.367	1	10
SP1375    	86.124	1.368	1	11
SP1375    	86.33	1.371	1	12
SP1375    	86.809	1.373	1	13
SP1375    	86.878	1.376	1	14
SP1375    	87.152	1.38	1	15
SP1375    	87.563	1.381	1	16
SP1375    	87.769	1.384	1	17
SP1375    	88.043	1.385	1	18
SP1375    	88.522	1.39	1	19
SP1375    	88.728	1.392	1	20
SP1375    	89.002	1.393	1	21
SP1375    	89.276	1.396	1	22
SP1375    	89.55	1.398	1	23
SP1375    	89.687	1.4	1	24
SP1375    	89.824	1.402	1	25
SP1375    	90.236	1.403	1	26
SP1375    	90.51	1.402	1	27
SP1375    	90.784	1.399	1	28
SP1375    	90.989	1.394	1	29
SP1375    	91.263	1.389	1	30
SP1375    	91.469	1.384	1	31
SP1375    	91.537	1.381	1	32
SP1375    	91.743	1.375	1	33
SP1375    	91.88	1.372	1	34
SP1375    	92.017	1.368	1	35
SP1375    	92.497	1.367	1	36
SP1375    	92.908	1.366	1	37
SP1375    	93.525	1.365	1	38
SP1375    	94.004	1.365	1	39
SP1375    	94.552	1.367	1	40
SP1375    	95.512	1.368	1	41
SP1375    	95.923	1.369	1	42
SP1375    	96.266	1.369	1	43
SP1375    	97.156	1.371	1	44
SP1375    	97.704	1.373	1	45
SP1375    	98.527	1.374	1	46
SP1375    	98.938	1.376	1	47
SP1375    	99.418	1.377	1	48
SP1375    	100.103	1.379	1	49
SP1375    	100.857	1.38	1	50
SP1375    	101.062	1.38	1	51
