"Hc2 (T)(Temperature (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/01/19, 8:55:17"


15
Temperature (K),Hc2 (T)
2.33634,1.00434,
3.03524,0.505626,
3.54417,0.0250820,
2.02720,5.50381,
2.53623,5.00475,
3.17174,4.52444,
3.58583,4.02520,
4.22154,3.50785,
4.76191,3.06440,
5.23939,2.54677,
5.84336,2.04788,
6.66884,1.54940,
7.05128,1.05011,
8.00364,0.496308,
8.51237,0.0528012,
