"c (10-2 emug-1Oe-1)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/12/08, 14:06:49",
,
,
180,
T (K),c (10-2 emug-1Oe-1)
1.97681,-3.56115
2.30145,-3.59712
2.55652,-3.59712
2.81159,-3.56115
3.06667,-3.56115
3.32174,-3.52518
3.55362,-3.38129
3.78551,-3.38129
4.04058,-3.20144
4.31884,-3.05755
4.68986,-2.80576
4.92174,-2.55396
5.22319,-2.1223
5.4087,-1.90647
5.54783,-1.61871
6.08116,-0.683453
6.17391,-0.467626
6.31304,-0.323741
6.42899,-0.107914
6.56812,0
6.77681,0
7.03188,0
7.47246,0
7.91304,0.0359712
8.46957,0.0359712
9.0029,0
9.32754,0
9.37391,0
10.0232,-0.0359712
1.97681,-1.40288
2.18551,-1.36691
2.41739,-1.33094
2.67246,-1.40288
2.95072,-1.40288
3.15942,-1.40288
3.41449,-1.33094
3.64638,-1.33094
3.92464,-1.33094
4.17971,-1.25899
4.36522,-1.29496
4.66667,-1.22302
4.92174,-1.11511
5.22319,-1.07914
5.4087,-1.04317
5.66377,-0.863309
5.98841,-0.719424
6.17391,-0.323741
6.45217,-0.107914
6.61449,-0.0359712
6.89275,-0.0359712
7.28696,-0.0359712
7.68116,-0.0359712
8.14493,-0.0359712
8.6087,0.0359712
9.02609,0
10,0
2.02319,-13.8849
2.34783,-13.9568
2.55652,-13.9568
2.81159,-13.9209
3.06667,-13.8489
3.32174,-13.777
3.6,-13.6691
3.83188,-13.4173
4.08696,-12.8417
4.41159,-12.0504
4.5971,-11.223
4.82899,-10.2158
5.03768,-8.84892
5.33913,-6.83453
5.54783,-4.4964
6.01159,-1.22302
6.15072,-0.683453
6.26667,-0.395683
6.45217,-0.143885
6.5913,0
6.89275,0
7.24058,0
7.58841,0
7.88985,0
8.46957,0
8.72464,0
9.32754,0.0359712
10,0.0359712
2.02319,-1.76259
2.16232,-1.72662
2.30145,-1.72662
2.57971,-1.72662
2.71884,-1.79856
2.97391,-1.69065
3.22899,-1.72662
3.46087,-1.72662
3.71594,-1.69065
3.9942,-1.69065
4.15652,-1.61871
4.43478,-1.51079
4.71304,-1.54676
4.96812,-1.43885
5.2,-1.33094
5.38551,-1.29496
5.64058,-1.22302
5.8029,-1.15108
5.91884,-1.00719
6.05797,-0.755396
6.1971,-0.359712
6.38261,-0.215827
6.49855,-0.0719424
6.70725,-0.0359712
7.05507,-0.0359712
7.68116,-0.0359712
8.23768,0
8.58551,0.0359712
8.84058,0.0359712
9.11884,0
9.55942,0
10,0
2.04638,-6.25899
2.32464,-6.25899
2.55652,-6.22302
2.76522,-6.18705
2.9971,-6.18705
3.29855,-6.11511
3.53043,-6.04317
3.76232,-5.82734
4.15652,-5.57554
4.31884,-5.2518
4.57391,-4.89209
4.82899,-4.28058
5.10725,-3.56115
5.26957,-2.94964
5.57101,-1.94245
5.91884,-1.07914
6.17391,-0.683453
6.47536,-0.28777
6.66087,0.0359712
6.91594,0.0359712
7.12464,0.0359712
7.42609,0.0359712
7.77391,0.0719424
8.26087,0.0359712
8.65507,0.0359712
9.02609,-0.0359712
9.67536,0.0719424
9.83768,0.0719424
10,0.0719424
2.18551,-1.94245
2.41739,-1.94245
2.64928,-2.01439
2.92754,-1.97842
3.25217,-1.90647
3.43768,-1.83453
3.87826,-1.80121
4.17971,-1.76259
4.29565,-1.65468
4.55072,-1.58273
4.75942,-1.51079
4.87536,-1.47482
5.08406,-1.25899
5.31594,-1.22302
5.61739,-1.07914
5.87246,-0.611511
6.1971,-0.323741
6.4058,-0.107914
6.75362,-0.0359712
6.96232,-0.0359712
7.17101,-0.0359712
7.37971,0
7.54203,0
7.7971,0
7.91304,0
8.12174,0
8.33043,0
8.46957,0
8.70145,0.0719424
8.97971,0
9.18841,0.0719424
9.42029,0.0719424
9.69855,0
9.86087,0
9.93044,0
