---------			
FIGNO:THC19236			
XPROP:T			
XUNIT:K			
YPROP:k			
YUNIT:W/mK			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
7.62	150.54	2	1
8.4	171.2	2	
8.97	190.19	2	
9.37	199.29	2	
10.33	213.77	2	
10.91	224	2
11.39	229.3	2
11.77	234.72	2
11.9	237.48	2
13.26	243.1	2
14	243.1	2
14.95	251.78	2
15.11	240.28	2
16.48	237.48	2
17.59	229.3	2
19.19	218.83	2
20.26	206.41	2
21.39	199.29	2
22.58	190.19	2
23.84	177.31	2
25.17	167.24	2
26.01	159.6	2
27.46	152.31	2
28.37	147.07	2
28.99	142	2
30.94	135.51	2
33.39	123.42	2
34.87	117.78	2
37.62	107.26	2
39.3	103.57	2
41.49	96.55	2
43.8	92.14	2
45.25	90.01	2
46.75	86.91	2
47.78	84.91	2
49.9	81.98	2
51	80.09	2
52.69	78.23	2
55.63	75.54	2
56.85	73.79	2
59.37	71.25	2
60.68	70.42	2
62.69	68.8	2
64.06	67.21	2
67.64	64.89	2
70.64	64.14	2
72.98	62.65	2
74.58	61.21	2
77.05	59.79	2
78.75	59.1	2
80.47	57.73	2
82.24	57.06	2
84.05	55.74	2
86.83	54.46	2
87.78	53.82	2
90.69	53.2	2
92.68	52.58	2
95.75	51.97	2
100	50.77	2
104.44	49.59	2
106.73	49.59	2
112.69	48.45	2
118.98	47.89	2
122.92	47.33	2
125.62	47.33	2
131.2	47.33	2
132.63	46.78	2
