"Specific heat [a.u.](Temperature [K]), created by Plot Digitizer, 2.6.8"
"Date: 24/03/19, 11:10:07"


54
Temperature [K],Specific heat [a.u.]
250.420,0.532951,
251.260,0.538682,
252.731,0.550143,
253.361,0.555874,
254.622,0.567335,
255.672,0.581662,
256.303,0.587393,
256.933,0.593123,
258.193,0.598854,
259.454,0.610315,
260.294,0.618911,
261.975,0.633238,
263.445,0.641834,
264.286,0.650430,
265.546,0.659026,
266.176,0.667622,
267.227,0.673352,
267.857,0.681948,
268.697,0.693410,
270.168,0.699140,
271.008,0.710602,
272.269,0.716332,
273.319,0.727794,
274.580,0.736390,
275.210,0.739255,
276.050,0.753582,
276.681,0.756447,
277.521,0.767908,
278.571,0.776504,
279.412,0.790831,
280.672,0.799427,
281.723,0.813754,
282.143,0.816619,
282.983,0.828080,
284.244,0.836676,
284.874,0.845272,
286.345,0.851003,
286.975,0.853868,
288.235,0.836676,
288.866,0.819484,
288.866,0.810888,
289.286,0.790831,
289.496,0.782235,
289.916,0.756447,
290.336,0.733524,
290.126,0.707736,
290.336,0.702006,
290.546,0.693410,
291.807,0.699140,
293.067,0.699140,
293.908,0.702006,
294.748,0.707736,
296.008,0.707736,
297.059,0.710602,
