"(Jdp/J0dp)2/3(t = T/Tc), created by Plot Digitizer, 2.6.8",
"Date: 21/08/17, 11:07:24",
,
,
31,
t = T/Tc,(Jdp/J0dp)2/3
0.00229358,0.997175
0.256881,0.742938
0.527523,0.474576
0.752294,0.257062
1.00229,0.00564972
0,0.536723
0.181193,0.525424
0.40367,0.454802
0.605505,0.330508
1.00229,0.00564972
0.291284,0.313559
0.364679,0.310734
0.438073,0.30226
0.511468,0.288136
0.582569,0.265537
0.658257,0.245763
0.729358,0.220339
0.802752,0.186441
0.844037,0.155367
0.87844,0.132768
0.91055,0.0988701
0.951835,0.0621469
0.986239,0.0254237
0.33945,0.327684
0.366972,0.322034
0.458716,0.30226
0.550459,0.276836
0.642202,0.251412
0.729358,0.20339
0.821101,0.158192
0.926606,0.0960452
0.986239,0.0338983
