"C (x10-2mK/MPa)(X), created by Plot Digitizer, 2.6.8",,,,,,,,,,,,,,,,
"Date: 21/03/30, 10:08:16",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
X,C (x10-2mK/MPa),C (x10-2mK/MPa),C (x10-2mK/MPa),C (x10-2mK/MPa),C (x10-2mK/MPa),C (x10-2mK/MPa),C (x10-2mK/MPa),C (x10-2mK/MPa),B (mK/MPa),B (mK/MPa),B (mK/MPa),B (mK/MPa),B (mK/MPa),B (mK/MPa),B (mK/MPa),B (mK/MPa)
1.54167,-3.37278,,,,0.118343,,,,-0.36129,,,,0.309677,,,
2.54167,-3.72781,,,,-1.12426,,,,1.08387,,,,2.47742,,,
3.58333,-2.69231,,,,0.266272,,,,3.35484,,,,3.71613,,,
4.625,-2.72189,,,,0.295858,,,,7.48387,,,,6.91613,,,
8.20833,,-4.52663,,,,-0.739645,,,,0.103226,,,,-1.39355,,
13.3333,,,-1.59763,,,,-0.798817,,,,-2.06452,,,,-1.34194,
18.4583,,,,-3.69822,,,,-0.207101,,,,3.40645,,,,2.32258
