"LD (%)(Distance), created by Plot Digitizer, 2.6.8",
"Date: 22/01/17, 15:10:54",
,
,
88K,114
Distance,LD (%)
3.84025,2.78E-17
38.4025,2.78E-17
46.083,0.0150235
345.622,0.0741784
72.9647,0.0319249
84.4854,0.0347418
122.888,0.0422535
138.249,0.0553991
157.45,0.0685446
172.811,0.0826291
188.172,0.0920188
199.693,0.103286
207.373,0.114554
218.894,0.120188
238.095,0.123005
268.817,0.113615
288.018,0.103286
303.379,0.0948357
330.261,0.0892019
368.664,0.0535211
376.344,0.0450704
391.705,0.0300469
418.587,0.028169
453.149,0.0253521
480.031,0.00751174
491.551,-0.0253521
510.753,-0.056338
526.114,-0.0882629
556.836,-0.129577
572.197,-0.144601
576.037,-0.156808
595.238,-0.169953
622.12,-0.18216
649.002,-0.17277
675.883,-0.158685
714.286,-0.157746
729.647,-0.155869
741.167,-0.138967
752.688,-0.122066
783.41,-0.0751174
798.771,-0.057277
825.653,-0.0413146
848.694,-0.02723
860.215,-0.00751174
883.257,0.0150235
906.298,0.0403756
917.819,0.057277
929.339,0.0713615
940.86,0.0873239
952.381,0.0938967
975.422,0.106103
994.624,0.116432
1009.98,0.126761
1021.51,0.134272
1033.03,0.150235
1033.03,0.156808
1059.91,0.164319
1071.43,0.173709
1094.47,0.177465
1113.67,0.168075
1136.71,0.152113
1163.59,0.125822
1182.8,0.102347
1236.56,0.0619718
1294.16,-0.000938967
1286.48,0.028169
1301.84,0.0103286
1313.36,-0.00187793
1370.97,-0.0535211
1355.61,-0.0591549
1390.17,-0.0713615
1405.53,-0.0835681
1436.25,-0.103286
1463.13,-0.117371
1478.49,-0.1277
1528.42,-0.140845
1555.3,-0.135211
1559.14,-0.116432
1578.34,-0.101408
1609.06,-0.0910798
1670.51,-0.0525822
1697.39,-0.0319249
1728.11,0.0169014
1739.63,0.0394366
1762.67,0.0657277
1789.55,0.0901408
1801.08,0.107042
1820.28,0.125822
1831.8,0.135211
1877.88,0.147418
1939.32,0.152113
1966.21,0.146479
1993.09,0.138028
2004.61,0.122066
2019.97,0.10892
2039.17,0.0967136
2046.85,0.0723005
2058.37,0.056338
2081.41,0.0356808
2089.09,0.0225352
2104.45,0.0103286
2135.18,-0.0169014
2162.06,-0.0234742
2196.62,-0.0225352
2246.54,-0.0366197
2284.95,-0.0356808
2300.31,-0.0262911
2361.75,0.00469484
2384.79,0.0169014
2400.15,0.0356808
2423.2,0.0507042
2423.2,0.0638498
2453.92,0.0741784
2480.8,0.0816901
,
89K,109
11.5207,0.00187793
42.2427,0.0028169
38.4025,0.0131455
53.7634,0.0197183
72.9647,0.0253521
80.6452,0.0300469
122.888,0.0413146
138.249,0.0460094
145.929,0.0535211
157.45,0.0610329
180.492,0.0685446
195.853,0.0713615
226.574,0.0732394
272.657,0.0694836
276.498,0.0619718
299.539,0.0535211
311.06,0.0431925
330.261,0.0319249
349.462,0.0234742
395.545,0.00938967
410.906,0.000938967
433.948,-0.0112676
445.469,-0.0215962
445.469,-0.0384977
464.67,-0.056338
476.19,-0.0666667
522.273,-0.0976526
549.155,-0.10892
568.356,-0.116432
583.717,-0.123944
606.759,-0.138967
629.8,-0.150235
645.161,-0.157746
672.043,-0.160563
702.765,-0.15493
718.126,-0.141784
729.647,-0.131455
741.167,-0.120188
775.73,-0.0948357
798.771,-0.0826291
817.972,-0.0704225
825.653,-0.0610329
837.174,-0.0488263
848.694,-0.0347418
867.896,-0.0215962
867.896,-0.00938967
890.937,0.0056338
906.298,0.0206573
913.979,0.0328638
929.339,0.0478873
952.381,0.0553991
971.582,0.0713615
990.783,0.0882629
998.464,0.101408
1013.82,0.114554
1033.03,0.125822
1052.23,0.134272
1063.75,0.142723
1075.27,0.149296
1090.63,0.152113
1117.51,0.14554
1140.55,0.130516
1167.43,0.112676
1194.32,0.084507
1248.08,0.0394366
1267.28,0.0262911
1267.28,0.0169014
1332.57,-0.0328638
1413.21,-0.0938967
1447.77,-0.113615
1474.65,-0.128638
1528.42,-0.132394
1555.3,-0.128638
1589.86,-0.126761
1609.06,-0.126761
1628.26,-0.116432
1628.26,-0.102347
1639.78,-0.0835681
1647.47,-0.0694836
1670.51,-0.0516432
1682.03,-0.0347418
1708.91,-0.00375587
1720.43,0.0150235
1739.63,0.0375587
1762.67,0.0600939
1781.87,0.0713615
1820.28,0.0788732
1843.32,0.084507
1851,0.0948357
1877.88,0.107042
1927.8,0.104225
1973.89,0.0938967
1993.09,0.0835681
2016.13,0.0732394
2039.17,0.0600939
2058.37,0.0450704
2077.57,0.0319249
2100.61,0.0150235
2127.5,0.000938967
2158.22,-0.00938967
2158.22,-0.0206573
2188.94,-0.0262911
2231.18,-0.0338028
2273.43,-0.0366197
2311.83,-0.0169014
2338.71,-0.00375587
2357.91,0.00938967
2388.63,0.0225352
2415.51,0.0319249
2442.4,0.0422535
2473.12,0.0535211
,
90K,86
11.5207,0.000938967
61.4439,0.00187793
111.367,0.00469484
130.568,0.0084507
157.45,0.0140845
180.492,0.0150235
203.533,0.0140845
234.255,0.00938967
257.296,0.00375587
326.421,-0.0178404
372.504,-0.0197183
395.545,-0.0140845
418.587,-0.0112676
433.948,-0.00469484
468.51,0.00187793
487.711,0.00657277
518.433,0.0112676
529.954,0.0150235
579.877,0.0103286
622.12,0.00469484
672.043,0.0028169
691.244,-0.00469484
733.487,-0.00751174
768.049,-0.00938967
794.931,-0.00938967
833.333,-0.00469484
867.896,-0.000938967
902.458,0.00657277
917.819,0.0150235
925.499,0.0225352
933.18,0.02723
952.381,0.0403756
967.742,0.0478873
990.783,0.057277
1021.51,0.0629108
1052.23,0.0657277
1071.43,0.057277
1094.47,0.0525822
1113.67,0.0460094
1136.71,0.0394366
1155.91,0.02723
1163.59,0.0206573
1190.48,0.0140845
1221.2,0.00751174
1290.32,-0.0159624
1321.04,-0.029108
1336.41,-0.0384977
1363.29,-0.0488263
1374.81,-0.0591549
1397.85,-0.0619718
1432.41,-0.0666667
1474.65,-0.0713615
1501.54,-0.0816901
1539.94,-0.085446
