"wph (cm-1)(Temperature (K)), created by Plot Digitizer, 2.6.8",,
"Date: 21/02/26, 14:25:47",,
,,
,,
Temperature (K),wph (cm-1),series
5.65714,208.225,11
8.8,207.882,11
15.0857,206.966,11
11.3143,207.309,11
20.1143,207.023,11
22,206.279,11
29.5429,206.393,11
37.7143,206.107,11
58.4571,205.42,11
110,202.5,11
210.571,197.634,11
,,
,,
,,
2Z (cm-1)(Temperature (K)), created by Plot Digitizer,
"Date: 21/02/26, 14:28:26",,
,,
,,
Temperature (K),"2Z"" (cm-1)",series
5.65714,4.06818,11
7.54286,4.65909,11
10.0571,5.20076,11
14.4571,5.49621,11
20.1143,5.54545,11
23.2571,6.92424,11
30.1714,5.79167,11
38.3429,7.02273,11
57.8286,6.67803,11
110,8.40152,11
209.943,11.6515,11
