"R/RN(B (T)), created by Plot Digitizer, 2.6.8",
"Date: 23/02/21, 11:10:03",
,
,
74,
B (T),R/RN
-2.05063,0.0345487
-2.03797,0.0323827
-2.03797,0.0285921
-1.98734,0.0231769
-1.94937,0.0187365
-1.93671,0.0137545
-1.89873,0.0098556
-1.86076,0.0068231
-1.77215,0.00368231
-1.72152,0.00194946
-1.62025,0.000758123
-1.5443,0.000433213
-1.46835,0.000216606
-1.37975,0.000216606
-1.25316,0.000216606
-1.17722,0.000216606
-1.05063,0.000216606
-0.987342,0.000758123
-0.898734,0.00281588
-0.860759,0.00368231
-0.810127,0.00411552
-0.746835,0.00389892
-0.696203,0.0032491
-0.64557,0.00249097
-0.594937,0.00184116
-0.56962,0.00119134
-0.481013,0.000649819
-0.455696,0.000433213
-0.379747,0.000108303
-0.253165,-0.000108303
-0.177215,-6.94E-18
-0.0759494,-6.94E-18
0,-0.000108303
0.139241,-0.000108303
0.227848,-0.000108303
0.316456,-0.000108303
0.443038,-0.000108303
0.56962,0.000649819
0.594937,0.00184116
0.658228,0.00292419
0.734177,0.00411552
0.797468,0.00433213
0.873418,0.00368231
0.873418,0.0032491
0.924051,0.00227437
0.974684,0.00162455
1.01266,0.000974729
1.01266,0.000758123
1.06329,0.00032491
1.10127,0.00032491
1.18987,0.000433213
1.25316,0.000108303
1.37975,0.000108303
1.46835,-6.94E-18
1.5443,0.000108303
1.60759,0.000433213
1.65823,0.000866426
1.72152,0.00194946
1.74684,0.00259928
1.78481,0.00379061
1.82278,0.00595668
1.86076,0.00779783
1.92405,0.0100722
1.91139,0.0129964
1.97468,0.0155957
1.96203,0.0176534
1.98734,0.0209025
2,0.0236101
2.01266,0.0261011
2.03797,0.0290253
2.03797,0.0305415
2.06329,0.0320578
2.07595,0.0337906
2.07595,0.0344404
