"RDC [W](1/T [1/K]), created by Plot Digitizer, 2.6.8",
"Date: 23/07/03, 9:23:44",
,
,
46,
1/T [1/K],RDC [W]
0.14359,27.9006
0.232479,27.3282
0.307692,25.4158
0.348718,23.8834
0.382906,22.0972
0.417094,20.7649
0.444444,19.513
0.478632,17.9603
0.499145,16.9652
0.533333,15.8599
0.574359,14.8267
0.615385,14.0779
0.65641,13.5062
0.717949,12.9577
0.786325,12.3033
0.854701,11.9886
0.964103,11.7427
1.0735,11.6216
1.13504,11.6216
1.23761,11.8037
1.33333,12.1135
1.42222,12.4315
1.49744,12.9577
1.58632,13.5764
1.64103,14.0779
1.71624,14.75
1.79829,15.3744
1.8735,15.9423
1.96923,16.7035
2.06496,17.231
2.14017,17.6833
2.27692,18.1475
2.4,18.4318
2.52308,18.9156
2.63932,19.212
2.72821,19.3118
2.94701,19.6144
3.07692,19.7163
3.23419,19.7163
3.34359,19.7163
3.44615,19.8187
3.54872,19.8187
3.67863,19.9217
3.80855,19.9217
3.89744,20.0252
3.95897,20.0252
