"Ce/T [mJ/mol-K-2](T [K]), created by Plot Digitizer, 2.6.8"
"Date: 23/09/28, 15:51:57"


35
T [K],Ce/T [mJ/mol-K-2]
0.396476,0.372881,
0.440529,0.440678,
0.466960,0.559322,
0.502203,0.635593,
0.519824,0.677966,
0.563877,0.813559,
0.599119,0.855932,
0.634361,1.01695,
0.669604,1.01695,
0.713656,1.01695,
0.757709,1.05085,
0.792952,1.08475,
0.854626,1.07627,
0.925110,1.15254,
0.986784,1.25424,
1.06608,1.30508,
1.11013,1.27966,
1.19824,1.33051,
1.37445,1.27966,
1.46256,1.45763,
1.54185,1.49153,
1.65639,1.50847,
1.75330,1.54237,
1.89427,1.54237,
2.00881,1.33898,
2.12335,1.23729,
2.27313,1.47458,
2.42291,1.59322,
2.59031,1.46610,
2.74890,1.26271,
2.94273,1.26271,
3.13656,1.16949,
3.33921,1.38136,
3.58590,1.23729,
3.77974,1.24576,
