"r [mWcm](T [K]), created by Plot Digitizer, 2.6.8",
"Date: 24/03/13, 11:22:36",
,
,
344,
T [K],r [mWcm]
3.18749,-0.276243
3.35415,-0.343211
3.4584,1.82488
3.50046,12.8579
3.5426,26.1008
3.60541,34.9155
3.64787,56.9982
3.64834,70.2578
3.69056,85.7107
3.75385,107.785
3.73349,121.053
3.79678,143.127
3.79741,160.807
3.83971,178.47
3.86125,198.351
3.8622,224.87
3.92525,240.315
3.92627,269.044
3.96865,288.917
4.01126,315.419
4.03304,341.93
4.05419,350.762
4.07558,366.223
4.11764,377.256
4.24319,392.675
4.32684,401.482
4.41041,408.078
4.4939,412.464
4.66064,414.607
4.97337,421.112
5.16087,421.036
5.41094,423.146
5.6611,427.465
5.82768,425.188
6.1401,422.853
6.61918,420.45
7.01509,422.501
7.59857,426.687
7.41099,424.552
7.76523,426.62
8.03598,424.301
2.72916,-0.092081
2.91666,-0.16742
3.52082,-0.410179
3.72907,-2.70383
3.98001,23.7151
3.87514,3.8674
3.93779,8.26218
4.00124,34.7564
4.0433,45.7894
4.06477,63.4606
4.08655,89.9715
4.1496,105.416
4.13019,145.203
4.19339,165.068
4.25676,189.352
4.2364,202.62
4.29977,226.904
4.30024,240.164
4.32155,253.415
4.32226,273.305
4.32289,290.984
4.36542,315.277
4.38681,330.738
4.42911,348.401
4.4924,370.475
4.55529,381.5
4.59727,390.323
4.72251,396.903
4.76457,407.936
4.91048,410.087
5.11904,416.633
5.30654,416.558
5.45253,420.919
5.72336,420.81
5.95252,420.718
6.32744,418.358
6.63993,418.232
6.97334,420.308
7.39,420.141
7.80666,419.973
2.70833,-0.08371
3.31257,1.88348
3.85423,1.66583
4.18755,1.53189
4.35461,12.5146
4.43874,34.5806
4.50218,61.0748
4.50297,83.1743
4.5459,118.517
4.5672,131.768
4.58914,162.699
4.63168,186.991
4.63231,204.671
4.63294,222.351
4.63365,242.24
4.71769,262.096
4.69725,273.154
4.6982,299.674
4.74074,323.966
4.80379,339.411
4.8045,359.3
4.86731,368.115
4.93044,385.769
4.9725,396.802
5.05599,401.189
5.22297,409.961
5.34821,416.541
5.45245,418.709
5.57753,420.869
5.78586,420.785
6.1401,422.853
6.41101,424.954
6.80684,424.795
7.26524,426.821
4.64564,-5.2821
7.93182,424.343
2.62508,2.15972
3.06257,1.98393
4.06232,-5.04771
4.37489,-2.96334
4.72921,1.31425
4.81357,30.01
4.89848,74.1755
4.9201,96.2665
4.9422,131.617
4.96359,147.079
5.00636,178.001
5.07075,231.015
5.09324,277.415
5.1368,330.437
5.1791,348.1
5.24238,370.174
5.32659,394.45
5.43091,398.828
5.49372,407.643
5.66062,414.206
5.82737,416.349
5.97343,422.92
6.11927,422.861
6.45267,424.937
6.70267,424.837
6.99433,424.72
7.45258,422.325
7.64024,426.67
7.80682,424.393
8.01515,424.309
2.60409,-2.2518
4.49997,-0.803616
4.87497,-0.954294
5.52087,0.996149
5.12496,-1.05475
5.16702,9.97824
5.20908,21.0112
5.23094,49.7321
5.23173,71.8316
5.25304,85.0829
5.29526,100.536
5.33771,122.618
5.33858,146.928
5.38198,195.53
5.40345,213.201
5.38332,233.099
5.42594,259.602
5.44716,270.643
5.44803,294.952
5.49072,323.665
5.51219,341.336
5.55449,358.999
5.59647,367.822
5.6177,378.863
5.68059,389.888
5.7015,392.089
5.72233,392.081
5.82674,398.669
5.88939,403.064
5.97312,414.08
6.07744,418.458
6.20252,420.618
6.34851,424.979
6.47351,424.929
6.84842,422.568
7.11941,426.879
7.53599,424.502
7.74424,422.208
8.05658,417.663
2.62508,2.15972
3.85407,-2.75406
5.02064,-5.43278
5.29163,-1.12171
5.41663,-1.17194
5.58353,5.39093
5.62582,23.0537
5.62645,40.7333
5.66962,82.7055
5.67065,111.435
5.7131,133.518
5.71373,151.197
5.7565,182.12
5.77923,235.15
5.84299,270.484
5.8437,290.373
5.86532,312.464
5.84496,325.732
5.90817,345.597
4.33331,-0.736648
6.01352,378.704
6.05543,385.317
6.09749,396.35
6.22256,398.51
6.30605,402.896
6.51478,413.862
6.63993,418.232
6.82759,422.577
7.16084,420.233
7.41099,424.552
7.66107,426.662
7.89023,426.57
2.60401,-4.46174
5.87495,-1.3561
5.91662,-1.37284
5.93753,0.828729
5.97943,7.44182
6.00066,18.4832
6.04359,53.8256
6.0443,73.715
6.0671,128.955
6.10964,153.248
6.08944,170.936
6.11122,197.447
6.15438,239.419
6.17608,263.72
6.15636,294.668
6.19889,318.96
6.1992,327.8
6.24142,343.253
6.26249,349.874
6.26297,363.134
6.32586,374.159
6.38868,382.973
6.45149,391.788
6.53506,398.384
6.74386,411.56
6.80652,415.955
7.01509,422.501
7.18191,426.854
7.14001,420.241
7.47341,422.317
7.64016,424.46
7.78599,424.401
2.62484,-4.47012
5.72904,-3.50745
6.20828,-1.49004
6.37518,5.07283
6.33383,13.9293
6.3972,38.2136
6.41937,75.7743
6.4623,111.117
6.44305,155.324
6.46483,181.835
6.46688,239.293
6.53072,276.837
6.53143,296.727
6.55289,314.398
6.57459,338.699
6.63788,360.773
6.63812,367.403
6.68042,385.066
6.72232,391.679
6.84787,407.099
7.01493,418.081
7.20274,426.846
7.30667,420.174
7.61948,428.888
7.95265,424.335
2.66666,-0.066968
6.43736,-3.79206
6.74994,-1.70768
6.77109,7.12372
6.7935,51.3142
6.81575,91.0849
6.83895,157.375
6.86231,228.085
6.88441,263.435
6.88527,287.745
6.92797,316.457
6.97082,349.59
6.97153,369.479
7.0139,389.352
7.07703,407.007
7.18151,415.804
7.34818,415.737
7.59825,417.847
7.74409,417.788
7.99416,419.898
2.64575,-2.26854
6.7916,-1.72443
6.87502,0.452034
6.89695,31.3829
6.8994,99.8912
6.90145,157.35
6.94541,221.421
7.01004,281.065
7.01146,320.844
7.0536,334.087
7.0966,371.639
7.11799,387.1
7.2018,400.326
7.26469,411.351
7.36941,426.779
7.51524,426.72
7.89023,426.57
8.03583,419.881
2.60393,-6.67169
6.95819,-4.00134
7.00057,15.8714
7.00143,40.1808
7.02337,71.1117
7.02487,113.101
7.0274,183.819
7.07175,258.94
7.15729,320.785
7.15847,353.934
7.18041,384.865
7.24338,398.1
7.38992,417.931
7.45258,422.325
7.57782,428.905
7.74456,431.048
8.01531,428.729
2.66666,-0.066968
7.25001,0.301356
7.29278,31.2238
7.27455,104.16
7.2755,130.68
7.27889,225.707
7.30249,303.047
7.30351,331.776
7.32529,358.287
7.36767,378.16
7.49362,404.629
7.51484,415.671
7.97356,426.536
