"rxx (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/01/31, 11:19:57",
,
,
116,
T (K),rxx (mWcm)
0T,40
1.9878,0
8.75536,0.00E+00
9.01288,7.82123
9.5279,16.7598
11.3305,22.3464
14.1631,26.8156
17.7682,32.4022
20.0858,36.8715
22.9185,42.4581
26.0086,48.0447
29.3562,55.8659
33.9914,63.6871
37.3391,71.5084
41.4592,81.5642
44.5494,87.1508
48.1545,97.2067
50.9871,102.793
53.5622,110.615
55.8798,117.318
58.7124,124.022
62.0601,130.726
64.6352,137.43
66.9528,144.134
70.8155,153.073
72.8755,159.777
76.9957,170.95
82.4034,182.123
88.0687,189.944
91.1588,192.179
92.4464,197.765
93.9914,203.352
96.824,210.056
99.6567,217.877
104.034,230.168
108.155,238.575
108.742,245.279
109.442,248.983
112.79,258.101
116.395,268.156
119.742,281.564
,
10T,13
2.83262,5.68E-14
4.37768,44.6927
8.24034,65.9218
13.3906,75.9777
18.2833,82.6816
24.721,88.2682
30.9013,93.8548
37.3391,100.559
53.3047,125.14
62.8326,141.899
77.5107,173.184
87.0386,188.827
110,246.921
,
15T,14
2.06009,74.8603
2.83262,80.4469
4.37768,92.7374
7.72532,107.263
13.133,121.788
19.0558,126.257
24.721,125.14
31.1588,126.257
36.824,128.492
53.0472,140.782
63.3476,154.19
77.2532,178.771
86.2661,191.061
110,249.162
,
20T,14
2.06009,126.257
2.83262,130.726
3.86266,140.782
7.98283,163.128
13.3906,181.006
18.5408,181.006
24.9785,175.419
30.6438,167.598
36.5665,160.894
53.0472,157.542
62.5751,166.48
77.5107,183.24
86.5236,193.296
109.8,250.279
,
25T,13
2.57511,184.358
4.37768,197.765
7.98283,224.581
13.6481,248.045
18.7983,244.693
24.9785,234.637
30.9013,215.642
36.5665,198.883
53.0472,177.654
62.5751,177.654
77.7682,191.061
87.0386,197.765
109.7,252.514
,
30T,13
2.3176,246.927
4.12017,262.57
7.98283,300.559
13.6481,321.788
18.7983,320.67
24.9785,299.441
30.6438,272.626
37.0815,246.927
52.5322,203.352
62.8326,192.179
76.9957,194.413
87.5536,197.765
109.7,253.631
,
34T,13
2.3176,302.793
3.86266,318.436
8.49785,359.777
14.1631,391.061
19.3133,385.475
24.4635,363.128
31.1588,321.788
36.5665,290.503
52.5322,226.816
62.8326,210.056
77.7682,203.352
86.7811,205.587
109.442,256.983
