****			
FIGNO: MHC156062			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: 			
PUNIT: 			
sample: Mg(B1-xCx)2  x= 0.03			
****			
			
XDATA	YDATA	PDATA	NUMBER
4.98 	33.58 	1	1
10.02 	27.36 	1	2
15.10 	20.89 	1	3
20.04 	14.47 	1	4
25.07 	8.61 	1	5
30.05 	3.64 	1	6
