****					
FIGNO: MHC151331					
XPROP: T					
XUNIT: K					
YPROP: Hc2					
YUNIT: T					
PPROP: 					
PUNIT:					
"SAMPLE: Sr0.1K0,9Fe2As2"					
****					

XDATA	YDATA	PDATA	NUMBER		
2.19 	5.0 	1	1		11.18211514
2.97 	4.0 	1	2		15.19110586
3.50 	3.0 	1	3		17.90981937
4.00 	2.0 	1	4		20.44423369
4.43 	1.0 	1	5		22.65608523
5.11 	0.0 	1	6		26.1121
