p	Tc [K]	Ef	dspin	d0	W0
0.17935		43.190			
0.18020			32.025		
0.20000					29.753
0.20000		40.123			
0.20042	89.726				
0.20042				34.197	
0.20042			29.939		
0.21011			32.025		
0.21011		42.209			
0.21938		37.914			
0.22023			29.939		
0.23244	71.233				
0.23244					19.259
0.23244				17.037	
0.23497		33.620			
0.23497			23.804		
0.25183				13.827	
0.25225					15.926
0.25351	48.630				
0.26194					13.457
0.26194	37.671				
0.26236				8.5185	
0.29185	-1.3699				
0.29228				-0.24691	
0.29270					-0.24691
