"MFMMS signal (arb. units)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/02/21, 10:58:19",
,
,
301,
Temperature (K),MFMMS signal (arb. units)
4.4684,-0.30605
4.49071,-0.263345
4.51301,-0.199288
4.51859,-0.30605
4.53532,-0.370107
4.54089,-0.391459
4.57993,-0.391459
4.67472,-0.263345
4.70818,-0.220641
4.73606,-0.135231
4.76952,-0.0925267
4.79182,-0.0284698
4.8197,0.0782918
4.84201,0.142349
4.84201,0.206406
4.85874,0.291815
4.86431,0.462633
4.88104,0.483986
4.89777,0.6121
4.90335,1.03915
4.90335,1.38078
4.90892,1.33808
4.92007,1.87189
4.93123,1.93594
4.94238,1.97865
4.94796,2.10676
4.95911,1.61566
4.97584,1.31673
4.98141,1.23132
4.98699,0.975089
4.98699,0.761566
4.98699,0.548043
4.98699,0.355872
4.99257,0.142349
4.99257,-0.0925267
4.99814,-0.241993
4.99814,-0.370107
5.01487,-0.476868
5.0316,-0.540925
5.06506,-0.562278
5.11524,-0.540925
5.15985,-0.519573
5.22677,-0.476868
5.27695,-0.476868
5.32714,-0.476868
5.41636,-0.455516
5.47212,-0.370107
5.52231,-0.327402
5.56691,-0.30605
5.58922,-0.284698
5.63941,-0.220641
5.68401,-0.220641
5.70074,-0.220641
5.75093,-0.199288
5.80669,-0.263345
5.84573,-0.263345
5.86803,-0.241993
5.89591,-0.220641
5.92937,-0.220641
5.9461,-0.263345
5.92937,-0.391459
5.97398,-0.327402
5.99071,-0.498221
6.01301,-0.604982
6.05204,-0.669039
6.07993,-0.669039
6.11896,-0.669039
6.1803,-0.733096
6.23048,-0.711744
4.32342,-1.13879
4.3513,-1.16014
4.36803,-1.24555
4.38476,-1.2242
4.40149,-1.16014
4.44052,-1.16014
4.47955,-1.16014
4.51301,-1.18149
4.52974,-1.11744
4.55762,-1.03203
4.57993,-1.03203
4.62454,-0.946619
4.64684,-0.946619
4.66915,-0.86121
4.69703,-0.797153
4.73048,-0.690391
4.74164,-0.519573
4.75836,-0.263345
4.76952,-0.156584
4.77509,-0.0925267
4.79182,-0.0498221
4.80855,0.0569395
4.80855,0.185053
4.81413,0.419929
4.8197,0.24911
4.82528,0.142349
4.82528,0.0142349
4.84201,-0.263345
4.84758,-0.540925
4.84758,-0.669039
4.86431,-0.86121
4.88662,-1.01068
4.89219,-1.13879
4.9368,-1.30961
4.96468,-1.30961
5.02602,-1.30961
5.09851,-1.30961
5.13755,-1.2669
5.18773,-1.2669
5.23792,-1.2669
5.2881,-1.24555
5.33829,-1.24555
5.36617,-1.16014
5.44981,-1.13879
5.48327,-1.13879
5.52231,-1.09609
5.57249,-1.07473
5.6171,-1.13879
5.66171,-1.18149
5.75651,-1.16014
5.79554,-1.09609
