****					
FIGNO: MHC151328					
XPROP: T					
XUNIT: K					
YPROP: Hc2					
YUNIT: T					
PPROP: 					
PUNIT:					
SAMPLE: Sr0.8K0.2Fe2As2					
****					

XDATA	YDATA	PDATA	NUMBER		
10.71 	7.0 	1	1		145.656
11.02 	6.0 	1	2		149.8719782
11.44 	5.0 	1	3		155.583913
11.80 	4.0 	1	4		160.4799891
12.16 	3.0 	1	5		165.3760653
12.54 	2.0 	1	6		170.5440326
12.98 	1.0 	1	7		176.5280435
13.60 	0.0 	1	8		184.96
