    kappa-(d8-ET)2Cu(NCS)2	

	dTc/dP (K/kbar)
c-axis (in plane)	3.44
b-axis (in plane)	-0.14
a*-axis (⊥plane)	-6.2
volume (hydrostatic)	-2.9
