"Anorm(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 23/10/19, 10:30:46"


21
T (K),Anorm
8.04598,0.352410,
9.88506,0.277108,
12.6437,0.295181,
14.9425,0.219880,
17.2414,0.259036,
20,0.216867,
22.2989,0.268072,
24.8276,0.493976,
27.3563,0.759036,
29.8851,0.855422,
32.8736,0.876506,
35.6322,0.858434,
37.9310,0.903614,
40.2299,0.894578,
42.2989,0.903614,
45.2874,0.933735,
49.6552,0.936747,
55.6322,0.957831,
59.7701,0.963855,
80.2299,0.987952,
100,0.996988,
