****					
FIGNO: MHC151330					
XPROP: T					
XUNIT: K					
YPROP: Hc2					
YUNIT: T					
PPROP: 					
PUNIT:					
"SAMPLE: Sr0.33K0,67Fe2As2"					
****					

XDATA	YDATA	PDATA	NUMBER		
17.42 	6.9 	1	1		378.0968875
17.82 	6.0 	1	2		386.7532584
18.33 	5.0 	1	3		397.8328292
18.81 	4.0 	1	4		408.2201917
19.32 	3.0 	1	5		419.2997625
19.91 	2.0 	1	6		432.1107958
20.54 	1.0 	1	7		445.6145084
21.70 	0.0 	1	8		470.89
