"R (W)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/08/27, 9:44:07"


28
T (K),R (W)
300,18.3511,
289.447,18.2447,
276.633,18.0319,
264.573,17.7660,
244.221,17.2340,
226.884,16.7021,
211.809,16.0106,
194.472,15.2128,
176.382,14.2021,
161.307,13.3511,
143.970,12.3404,
128.894,11.4894,
113.819,10.7447,
97.2362,10,
79.1457,9.20213,
64.8241,8.61702,
49.7487,8.08511,
33.1658,7.65957,
21.1055,7.39362,
14.3216,7.34043,
6.78392,7.23404,
6.03015,6.32979,
5.27638,5.53191,
4.52261,4.62766,
3.01508,5.15957,
3.01508,4.04255,
1.50754,3.29787,
1.50754,2.55319,
