****			
FIGNO: OHC687-2			
XPROP: T/Tc	Tc=12K		
XUNIT:  			
YPROP: (Hc2//plane)/Hp	Hp =33T		
YUNIT: 			
PPROP: 			
PUNIT: 			
SAMPLE: kappa-(BEDT-TTF)2Cu[N(CN)2]Br			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.120 	1.182 	1	1
0.187 	1.109 	1	2
0.272 	1.045 	1	3
0.336 	1.008 	1	4
0.423 	0.978 	1	5
0.508 	0.958 	1	6
0.591 	0.920 	1	7
0.676 	0.877 	1	8
0.719 	0.846 	1	9
0.763 	0.811 	1	10
0.805 	0.717 	1	11
0.846 	0.621 	1	12
0.888 	0.524 	1	13
0.931 	0.395 	1	14
0.956 	0.278 	1	15
0.974 	0.148 	1	16
1.000 	0.013 	1	17
