"Ce/T [mJ/mol-K-2](T [K]), created by Plot Digitizer, 2.6.8"
"Date: 23/09/28, 15:54:15"


37
T [K],Ce/T [mJ/mol-K-2]
0.387665,0.228814,
0.431718,0.254237,
0.475771,0.279661,
0.502203,0.254237,
0.546256,0.305085,
0.572687,0.338983,
0.616740,0.313559,
0.669604,0.313559,
0.696035,0.313559,
0.722467,0.389830,
0.775330,0.389830,
0.828194,0.601695,
0.872247,0.703390,
0.933921,0.737288,
1.00441,0.847458,
1.05727,0.991525,
1.09251,1.03390,
1.12775,1.10169,
1.20705,1.22881,
1.29515,1.30508,
1.37445,1.60169,
1.47137,1.88983,
1.54185,1.92373,
1.66520,2.12712,
1.77093,2.47458,
1.88546,2.47458,
2,2.81356,
2.14097,2.73729,
2.26432,2.78814,
2.43172,2.53390,
2.59031,2.02542,
2.75771,1.57627,
2.94273,1.43220,
3.12775,1.55085,
3.33040,1.52542,
3.55947,1.34746,
3.77974,1.36441,
