---------			
FIGNO:RES33718			
XPROP:T			
XUNIT:K			
"YPROP:R<ab>, R<c>"			
YUNIT:mOhm.cm			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
