"Resistivity (mWcm)(Temperature (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/01/15, 13:35:43"


140
Temperature (K),Resistivity (mWcm)
57.0248,0.685738,
0.619835,0.101750,
3.09917,0.101750,
3.71901,0.100000,
3.71901,0.116895,
3.71901,0.154285,
3.09917,0.193309,
3.71901,0.259605,
3.71901,0.325268,
3.71901,0.407539,
4.33884,0.452238,
4.33884,0.493210,
4.33884,0.537894,
5.57851,0.537894,
9.29752,0.547305,
15.4959,0.547305,
22.3140,0.556881,
27.8926,0.556881,
32.2314,0.556881,
36.5702,0.566625,
42.7686,0.586626,
45.8678,0.607334,
52.6860,0.639774,
151.859,1.52291,
66.9421,0.735005,
71.2810,0.787811,
75.6198,0.801595,
81.1983,0.859185,
86.1570,0.889513,
92.3554,0.937025,
96.0744,0.987075,
102.893,1.05799,
109.091,1.09534,
117.149,1.17403,
123.967,1.21547,
129.545,1.28040,
133.884,1.32559,
138.843,1.37239,
142.562,1.42083,
146.901,1.42083,
156.198,1.52291,
159.917,1.57667,
165.496,1.63232,
169.835,1.68994,
177.273,1.74960,
183.471,1.78021,
190.909,1.84305,
196.488,1.90811,
203.306,2.01003,
210.124,2.11739,
218.802,2.19213,
226.240,2.26951,
233.678,2.34962,
241.736,2.34962,
247.934,2.47512,
252.893,2.56249,
262.810,2.60733,
269.008,2.69937,
278.306,2.79465,
285.124,2.89330,
291.942,2.99543,
173.554,6.76875,
300,2.99543,
3.71901,6.09973,
8.05785,6.09973,
13.0165,6.09973,
18.5950,6.09973,
26.0331,6.09973,
30.3719,6.09973,
36.5702,6.09973,
47.1074,6.09973,
54.5455,5.99484,
63.8430,5.99484,
74.3802,6.20646,
83.0579,6.20646,
94.2149,6.20646,
102.273,6.31505,
111.570,6.20646,
121.488,6.31505,
128.926,6.31505,
136.364,6.53796,
144.421,6.53796,
154.959,6.53796,
163.636,6.76875,
188.430,6.88718,
198.967,7.25505,
206.405,7.25505,
212.603,7.25505,
222.521,7.64257,
231.198,7.64257,
241.736,7.64257,
251.653,7.91234,
260.950,8.19164,
270.868,8.19164,
278.306,8.48080,
286.364,8.78017,
291.942,8.62919,
298.760,8.78017,
3.09917,1933.09,
3.09917,1516.32,
3.71901,1000,
4.33884,840.757,
5.57851,637.005,
6.81818,526.357,
9.91736,378.577,
11.7769,329.527,
23.5537,217.320,
15.4959,263.004,
17.9752,237.009,
30.3719,189.163,
37.1901,164.654,
42.7686,153.617,
48.3471,140.856,
53.9256,133.714,
60.7438,122.606,
67.5620,114.388,
76.2397,106.721,
86.7769,101.309,
95.4545,94.5187,
102.893,88.1832,
114.669,82.2724,
124.587,76.7578,
138.843,72.8658,
147.521,69.1711,
158.678,64.5346,
166.736,64.5346,
176.653,60.2089,
186.570,61.2624,
196.488,59.1736,
207.025,58.1561,
218.802,57.1560,
227.479,55.2073,
237.397,53.3249,
247.314,54.2579,
257.231,54.2579,
265.909,54.2579,
277.066,52.4080,
285.124,52.4080,
290.702,52.4080,
299.380,52.4080,
