"r (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/08/20, 11:06:49",
,
,
1507,
T (K),r (mWcm)
2.13527,0
2.81159,0.00E+00
3.82609,0
4.36715,0
4.90821,0
5.65217,0
5.99034,0.0255864
6.05797,0.140725
6.1256,0.24307
6.1256,0.447761
6.26087,0.690832
6.3285,1.02345
6.39614,1.52878
6.5314,2.04051
6.5314,2.45629
6.59903,2.59701
6.66667,2.77612
6.80193,2.8209
7.00483,2.85288
6.80193,2.89126
7.1401,2.87846
7.20773,2.89765
7.54589,2.90405
7.54589,2.92324
7.81643,2.92324
8.42512,2.90405
9.03382,2.93603
9.03382,2.91045
9.50725,2.90405
9.64251,2.91684
9.64251,2.90405
10.1836,2.90405
10.4541,2.91045
10.8599,2.92324
11.1981,2.89126
11.3333,2.87846
11.5362,2.94883
11.7391,2.92324
11.8068,2.89765
12.2126,2.94883
12.686,2.89765
13.0242,2.94883
13.2271,2.90405
13.5652,2.93603
14.0386,2.91684
14.2415,2.91684
14.6473,2.89765
14.9855,2.91045
15.0531,2.92324
15.256,2.92964
15.3913,2.94243
15.7295,2.94243
15.9324,2.92964
16.3382,2.92964
16.8792,2.94243
17.1498,2.92964
17.5556,2.91045
17.8937,2.90405
18.1643,2.91045
18.3671,2.92324
18.57,2.93603
19.1787,2.92324
19.5845,2.93603
19.7874,2.94243
20.1256,2.93603
20.599,2.96162
20.8696,2.94243
21.2077,2.94243
21.6812,2.93603
21.8164,2.95522
22.3575,2.96162
23.0338,2.97441
23.3043,2.98081
23.5072,2.98081
24.2512,2.96162
24.7923,2.97441
25.0628,2.97441
25.6715,2.97441
26.0773,2.9936
26.4831,3.02559
26.686,3
26.9565,3
27.4976,3.01279
28.0386,3.01919
28.1739,3.02559
28.4444,3.03198
28.715,3.03198
28.8502,3.03198
29.1884,3.05117
29.3913,3.05117
29.6618,3.05757
30,3.05757
3.48792,0
4.23188,0
5.24638,0
5.92271,0.0127932
6.19324,0.0127932
6.19324,0.0831556
6.19324,0.236674
6.26087,0.460554
6.3285,0.761194
6.46377,1.25373
6.5314,1.63753
6.66667,1.92537
6.7343,2.36674
