"c [x10-2 emu/g](T [K]), created by Plot Digitizer, 2.6.8",
"Date: 22/03/29, 11:31:42",
,
,
371,
T [K],c [x10-2 emu/g]
1.95955,-7.20128
2.03146,-7.09904
2.1573,-7.04792
2.26517,-7.04792
2.35506,-6.94569
2.46292,-6.89457
2.57079,-6.84345
2.76854,-6.6901
2.84045,-6.6901
2.91236,-6.63898
3.02022,-6.53674
3.12809,-6.4345
3.23595,-6.38339
3.3618,-6.33227
3.45169,-6.33227
3.50562,-6.23003
3.57753,-6.1278
3.70337,-5.97444
3.73933,-5.92332
3.84719,-5.76997
3.95506,-5.71885
4.04494,-5.66773
4.2427,-5.41214
4.26067,-5.3099
4.35056,-5.3099
4.38652,-5.20767
4.44045,-5.05431
4.58427,-4.84984
4.65618,-4.7476
4.74607,-4.64537
4.85393,-4.28754
5.03371,-4.08307
5.06966,-3.92971
5.15955,-3.67412
5.24944,-3.52077
5.33933,-3.31629
5.3573,-3.11182
5.44719,-3.0607
5.53708,-2.80511
5.57303,-2.70288
5.71685,-2.34505
5.77079,-2.19169
5.8427,-1.98722
5.89663,-1.88498
5.96854,-1.73163
6.00449,-1.57827
6.05843,-1.52716
6.14831,-1.32268
6.2382,-1.16933
6.27416,-1.01597
6.36405,-0.913738
6.45393,-0.86262
6.63371,-0.760383
6.65169,-0.607029
6.75955,-0.555911
6.81348,-0.402556
6.86742,-0.351438
6.97528,-0.249201
6.99326,-0.198083
7.06517,-0.0958466
7.10112,-0.0447284
7.20899,-0.0447284
7.38876,-0.0447284
7.51461,-0.0447284
7.62247,-0.0447284
7.80225,-0.0447284
7.91011,0.00638978
1.90562,-12.3131
2.01348,-12.3131
2.13933,-12.3131
2.28315,-12.262
2.42697,-12.262
2.55281,-12.2109
2.6607,-12.211
3.0382,-12.0064
2.93034,-12.0064
3.14607,-11.8019
3.25393,-11.8019
3.43371,-11.6997
3.59551,-11.5463
3.73933,-11.4441
3.84719,-11.2907
3.97303,-11.1374
4.11685,-10.9329
4.18876,-10.8818
4.20674,-10.8818
4.26067,-10.7796
4.40449,-10.6262
4.45843,-10.524
4.60225,-10.3195
4.6382,-10.115
4.74607,-10.0128
4.76404,-9.80831
4.88989,-9.85942
4.9618,-9.45048
5.05169,-9.29712
5.69888,-7.09904
5.19551,-8.83706
5.33933,-8.78594
5.41124,-8.17252
5.48315,-7.71246
5.60899,-7.40575
6.52584,-2.95847
5.80674,-6.4345
5.86067,-6.1278
5.91461,-5.97444
5.95056,-5.82109
6.00449,-5.5655
6.05843,-5.36102
6.05843,-5.15655
6.13034,-4.84984
6.20225,-4.64537
6.29213,-4.28754
6.32809,-4.03195
6.36405,-3.82748
6.4,-3.57188
6.4,-3.41853
6.47191,-3.16294
6.59775,-2.08946
6.65169,-2.03834
6.74157,-1.9361
6.70562,-1.68051
6.81348,-1.47604
6.81348,-1.3738
6.88539,-1.11821
6.90337,-0.86262
6.9573,-0.555911
6.99326,-0.453674
7.08315,-0.0958466
7.13708,-0.0958466
7.15506,0.00638978
7.2809,0.108626
7.46067,0.057508
7.53258,0.00638978
7.69438,0.210863
7.76629,0.057508
7.94607,0.00638978
1.94157,-8.47923
2.10337,-8.32588
2.1573,-8.32588
2.21124,-8.22364
2.30112,-8.07029
2.4809,-8.07029
2.60674,-7.91693
2.66067,-7.8147
2.76854,-7.71246
2.98427,-7.40575
3.12809,-7.30351
3.16404,-7.2524
3.27191,-6.99681
3.28989,-6.99681
3.41573,-6.79233
3.48764,-6.53674
3.57753,-6.4345
3.72135,-6.1278
3.8292,-5.9744
3.88315,-5.71885
3.97303,-5.5655
4.0809,-5.46326
4.13483,-5.36102
4.15281,-5.10543
4.22472,-4.90096
4.31461,-4.69649
4.35056,-4.59425
4.42247,-4.44089
4.44045,-4.28754
4.49438,-4.13419
4.56629,-3.92971
4.69213,-3.26518
4.8,-3.00958
4.88989,-2.80511
4.92584,-2.4984
5.01573,-2.29393
5.08764,-2.14058
5.10562,-1.9361
5.17753,-1.78275
5.17753,-1.47604
5.24944,-1.27157
5.30337,-1.16933
5.3573,-1.06709
5.39326,-0.964856
5.42921,-0.760383
5.50112,-0.607029
5.50112,-0.555911
5.53708,-0.453674
5.69888,-0.0958466
5.78876,-0.146965
6.00449,-0.146965
6.13034,-0.0447284
6.34607,-0.0447284
6.47191,-0.0447284
6.59775,-0.0447284
6.77753,-0.146965
7.06517,-0.146965
7.20899,-0.0447284
7.40674,-0.0958466
7.60449,-0.198083
7.96405,0.108626
1.95955,-0.86262
2.08539,-0.913738
2.13933,-0.811502
2.28315,-0.658147
2.44494,-0.658147
2.53483,-0.555911
2.67865,-0.453674
2.78652,-0.402556
2.89438,-0.402556
3.05618,-0.198083
3.18202,-0.0958466
3.32584,-0.0958466
3.43371,-0.0958466
3.48764,-0.0447284
3.66742,0.00638978
3.97303,-0.0958466
4.09888,-0.0447284
4.31461,-0.0447284
4.76404,-0.0958466
4.88989,-0.0958466
5.01573,-0.0958466
5.21348,-0.0958466
5.3573,-0.0447284
5.62697,-0.0447284
5.8427,-0.0447284
6.11236,-0.0447284
6.65169,0.057508
6.75955,0.108626
6.92135,0.108626
7.13708,0.057508
7.29888,0.057508
7.37079,0.057508
7.6764,0.057508
7.96405,0.00638978
