"2d (meV)(Temperature (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/03/04, 13:44:54"


7
Temperature (K),2d (meV)
14.8718,21.9972,
29.7436,21.1592,
50,5.86592,
60,0.0698324,
70,3.55271e-15,
80,3.55271e-15,
100,0.0698324,
