"Temperature (K)(Pressure (GPa)), created by Plot Digitizer, 2.6.8",
"Date: 21/08/24, 14:18:41",
,
,
75,
Pressure (GPa),Temperature (K)
-5.15328,144.695
-5.0365,141.801
-4.77372,136.977
-4.27737,130.707
-3.9854,124.437
-3.75182,120.096
-3.66423,115.273
-3.19708,108.039
-2.9635,102.733
-2.75912,97.91
-2.52555,94.0514
-1.59124,68.9711
-1.29927,63.1833
-1.06569,57.8778
-0.627737,47.2669
-1.06569,43.8907
-0.773723,37.1383
-0.306569,39.0675
-0.160584,38.1029
-0.277372,31.8328
-0.0145985,32.7974
0.0437956,30.3859
0.248175,24.5981
0.59854,17.8457
0.832117,20.2572
-5.18248,4.34084
-4.77372,4.82315
-4.21898,4.82315
-3.92701,4.82315
-3.78102,5.78778
-3.63504,4.82315
-3.40146,4.34084
-3.22628,4.82315
-2.87591,4.82315
-2.70073,5.78778
0.861314,7.23473
0.948905,7.23473
1.35766,7.71704
1.50365,7.71704
2.0292,7.71704
3.0219,8.68167
3.34307,9.16399
4.07299,8.68167
4.62774,9.16399
5.15328,7.71704
-5.24088,5.78778
-4.30657,4.34084
-2.61314,5.78778
0.0729927,7.23473
0.306569,7.23473
1.9708,7.23473
2.14599,7.23473
2.40876,7.71704
-3.83942,106.109
-2.9635,94.0514
-2.05839,80.5466
0.160584,38.1029
0.277372,31.3505
0.394161,29.4212
0.481752,27.0096
0.656934,27.9743
0.627737,24.5981
0.131387,33.2797
0.160584,7.23473
0.335766,7.23473
0.452555,7.71704
0.978102,7.71704
1.12409,6.75241
1.24088,6.75241
1.38686,6.75241
0.80292,12.5402
0.80292,8.19936
0.80292,5.30547
0.59854,3.85852
0.394161,0.96463
