"cnem(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/12/06, 14:34:11",
,
,
78,
Temperature (K),cnem
13.986,7.00935
16.8998,3.15421
19.2308,1.16822
19.8135,-1.16822
22.1445,-3.38785
25.0583,-8.17757
27.3893,-4.08879
29.7203,-5.60748
32.634,-5.14019
34.965,-1.75234
39.0443,-0.934579
40.2098,0.116822
42.5408,1.86916
44.8718,2.92056
47.2028,4.90654
48.951,6.65888
50.6993,8.41121
52.4476,10.514
54.7786,12.6168
56.5268,15.1869
58.2751,17.9907
60.6061,19.2757
62.3543,23.014
65.2681,25.8178
66.4336,27.9206
68.7646,30.4907
69.9301,33.1776
72.8438,34.4626
74.0093,36.9159
78.0886,39.3692
82.7506,39.8364
86.2471,39.0187
89.7436,38.4346
95.5711,35.3972
96.7366,35.0467
99.6504,34.1121
102.564,32.9439
103.73,31.4252
106.643,30.3738
108.974,29.2056
112.471,28.3878
114.219,26.1682
117.716,25.8178
120.047,23.9486
122.96,23.9486
125.874,22.6636
128.788,21.9626
130.536,21.3785
134.615,20.4439
136.364,19.6262
138.112,18.9252
141.608,18.8084
145.688,17.5234
148.601,16.9393
151.515,16.472
153.846,16.1215
154.429,15.4206
159.674,14.9533
163.17,14.7196
166.667,14.0187
171.911,13.2009
174.825,12.8505
177.739,12.6168
184.149,11.9159
188.811,11.215
191.725,10.6308
197.552,10.2804
201.049,10.2804
206.294,9.81308
209.207,9.34579
213.287,8.99533
216.2,8.99533
222.028,8.41121
226.107,7.71028
232.517,7.71028
235.431,7.00935
238.928,7.35981
244.173,6.42523
