"C (mJ/mol-K)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 23/09/26, 12:30:51",
,
,
26,
T (K),C (mJ/mol-K)
1.96313,26.178
2.10138,30.541
2.25806,34.904
2.39631,40.1396
2.56221,46.2478
2.70968,52.356
2.87558,59.3368
3.02304,68.0628
3.19816,77.6614
3.35484,89.0052
3.51152,100.349
3.6682,115.183
3.82488,124.782
4,142.234
4.15668,157.941
4.3318,178.01
4.4977,200.698
4.65438,219.895
4.82028,249.564
4.98618,278.359
5.14286,301.047
5.29954,330.716
5.43779,362.129
5.64977,400.524
5.78802,435.428
5.96313,479.93
,
inset,
44,
T (K),C (mJ/mol-K)
2.0297,11.6194
2.09901,12.2672
2.15842,13.0769
2.20792,13.4008
2.25743,13.8866
2.34653,14.3725
2.40594,14.8583
2.48515,15.668
2.53465,16.1538
2.60396,16.6397
2.64356,17.2874
2.70297,17.9352
2.74257,18.4211
2.78218,18.9069
2.83168,19.3927
2.90099,20.3644
2.9703,21.336
3.0396,21.9838
3.05941,22.6316
3.12871,23.9271
3.22772,24.7368
3.28713,25.8704
3.31683,26.5182
3.37624,27.4899
3.44554,28.6235
3.58416,29.5951
3.68317,29.5951
3.74257,30.7287
3.82178,31.3765
3.90099,32.6721
4.0198,33.4818
4.06931,35.4251
4.16832,37.3684
4.22772,38.9879
4.30693,40.4453
4.39604,42.3887
4.49505,43.8462
4.55446,45.9514
4.64356,47.8947
4.73267,49.6761
4.81188,51.2955
4.90099,53.7247
4.9802,55.3441
4.9802,55.3441
