"Hc2 (T)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 23/09/26, 11:30:04"


28
T (K),Hc2 (T)
2.12109,0.601439,
2.39666,0.497842,
2.68058,0.400000,
2.97286,0.302158,
3.12317,0.247482,
3.39875,0.198561,
3.42380,0.146763,
3.57411,0.103597,
3.67432,0.0978417,
3.69102,0.0661871,
3.78288,0.0489209,
3.83299,0.0517986,
3.87474,0.0258993,
3.99165,-0.00287770,
2.17119,0.497842,
2.50522,0.397122,
2.63883,0.345324,
2.83090,0.296403,
2.98956,0.250360,
3.14823,0.198561,
3.36534,0.146763,
3.54906,0.0949640,
3.64092,0.0776978,
3.74948,0.0575540,
3.79123,0.0374101,
3.85804,0.0287770,
3.94154,0.00863309,
3.97495,-0.00287770,
