"R (W)(m0H (T)), created by Plot Digitizer, 2.6.8",
"Date: 21/08/27, 10:08:54",
,
,
345,
m0H (T),R (W)
1.40984,7.16335
1.54098,7.41434
1.72459,7.7012
1.84262,7.91633
2,8.13147
-1.98689,5.8008
-1.89508,5.69323
-1.80328,5.51394
-1.71148,5.37052
-1.60656,5.19124
-1.42295,4.90438
-1.31803,4.7251
-1.18689,4.61753
-1.04262,4.40239
-0.859016,4.40239
-0.740984,4.58167
-0.557377,4.7251
-0.452459,4.68924
-0.386885,4.54582
-0.308197,4.40239
-0.242623,4.11554
-0.163934,3.72112
-0.111475,3.43426
-0.111475,3.25498
-0.0590164,2.71713
-0.0196721,2.43028
0.0721311,2.93227
0.137705,3.39841
0.177049,3.75697
0.229508,4.15139
0.321311,4.36653
0.386885,4.54582
0.452459,4.68924
0.531148,4.76096
0.636066,4.68924
0.740984,4.61753
0.845902,4.50996
0.95082,4.40239
1.02951,4.4741
1.09508,4.58167
1.21311,4.76096
1.33115,4.86853
1.43607,4.9761
1.58033,5.22709
1.72459,5.37052
1.82951,5.62151
2.01311,5.90837
