"R/R300K(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 23/10/19, 10:28:30"


85
T (K),R/R300K
9.37500,0.0113960,
10.6250,0.0142450,
11.8750,0.0284900,
13.1250,0.0455840,
15,0.0797721,
15,0.148148,
15,0.148148,
16.2500,0.227920,
17.5000,0.330484,
17.5000,0.330484,
18.1250,0.455840,
20,0.547009,
20.6250,0.615385,
21.2500,0.652422,
22.5000,0.678063,
23.7500,0.706553,
23.7500,0.726496,
24.3750,0.740741,
24.3750,0.760684,
26.2500,0.774929,
27.5000,0.786325,
28.7500,0.794872,
30,0.809117,
30,0.817664,
31.8750,0.826211,
34.3750,0.831909,
36.8750,0.826211,
40,0.820513,
42.5000,0.814815,
45,0.811966,
46.8750,0.803419,
50.6250,0.800570,
53.1250,0.797721,
55,0.794872,
58.1250,0.789174,
61.2500,0.783476,
65,0.783476,
69.3750,0.777778,
73.7500,0.780627,
78.1250,0.777778,
81.8750,0.774929,
85.6250,0.777778,
90.6250,0.780627,
95.6250,0.783476,
101.250,0.789174,
105.625,0.789174,
111.250,0.797721,
117.500,0.803419,
125.625,0.811966,
131.875,0.820513,
135.625,0.823362,
141.250,0.829060,
146.875,0.837607,
150.625,0.840456,
156.250,0.849003,
161.250,0.854701,
167.500,0.860399,
172.500,0.868946,
178.125,0.877493,
185,0.886040,
191.875,0.894587,
196.875,0.897436,
202.500,0.905983,
207.500,0.908832,
213.125,0.917379,
218.125,0.920228,
221.875,0.925926,
226.250,0.928775,
230.625,0.934473,
236.875,0.940171,
241.250,0.945869,
247.500,0.951567,
250.625,0.960114,
255,0.960114,
260.625,0.965812,
265.625,0.965812,
270.625,0.974359,
274.375,0.977208,
278.125,0.982906,
283.125,0.985755,
286.875,0.991453,
289.375,0.994302,
292.500,0.997151,
296.250,0.997151,
299.375,0.997151,
