---------			
FIGNO:OPH1002			
XPROP:P			
XUNIT:MPa			
"YPROP:T(n-m), Tc, T(s-n)"			
YUNIT:K			
"PPROP:1 T(n-m) nonmetal to metal, 2  Tc (SC), 3  T(s-n) SC to nonmetal"			
PUNIT:			
---------			
xdata	ydata	pdata	number
21.6	30.62	1	
22.6	27.39	1	
24.6	24.02	1	
26.3	21.35	1	
28.2	17.98	1	
30	15.59	1
31.6	13.76	1
32.1	12.64	1
0	11.94	2
12.8	12.22	2
24	12.36	2
30.9	12.36	2
39.8	12.36	2
14.8	0	3
14.9	1.83	3
16.2	3.51	3
17.7	4.35	3
19.6	4.92	3
23	5.48	3
26.3	6.04	3
30	6.46	3
39.9	6.18	3
19.1	10.39	
19	8.43	
30.3	10.96	
30.3	8.57	
