****				
FIGNO: MHC158236				
XPROP: T				
XUNIT:  K				
"YPROP: Hc2, Hc1"				
"YUNIT: T, mT"				
PPROP: 				
PUNIT: 				
SAMPLE:  NbRh2B2				
****				
				
XDATA	YDATA	PDATA	NUMBER	
1.70 	6.98 	Hc1	1	not demag correction
2.00 	6.97 	Hc1	2	
2.50 	6.53 	Hc1	3	
3.00 	6.28 	Hc1	4	
3.50 	5.89 	Hc1	5	
3.99 	5.45 	Hc1	6	
4.49 	4.92 	Hc1	7	
4.99 	4.26 	Hc1	8	
5.50 	3.70 	Hc1	9	
6.00 	2.84 	Hc1	10	
6.50 	1.93 	Hc1	11	
6.99 	1.03 	Hc1	12	
3.05 	13.97 	Hc2	1	
3.26 	13.48 	Hc2	2	
3.42 	13.06 	Hc2	3	
3.65 	12.47 	Hc2	4	
3.82 	11.98 	Hc2	5	
3.99 	11.50 	Hc2	6	
4.21 	10.98 	Hc2	7	
4.38 	10.48 	Hc2	8	
4.57 	9.98 	Hc2	9	
4.72 	9.49 	Hc2	10	
4.92 	8.99 	Hc2	11	
5.09 	8.46 	Hc2	12	
5.26 	8.01 	Hc2	13	
5.43 	7.48 	Hc2	14	
5.59 	6.97 	Hc2	15	
5.72 	6.52 	Hc2	16	
5.88 	6.03 	Hc2	17	
6.02 	5.49 	Hc2	18	
6.20 	4.95 	Hc2	19	
6.38 	4.45 	Hc2	20	
6.51 	3.97 	Hc2	21	
6.64 	3.55 	Hc2	22	
6.79 	3.02 	Hc2	23	
6.94 	2.50 	Hc2	24	
7.12 	1.96 	Hc2	25	
7.22 	1.56 	Hc2	26	
7.38 	0.98 	Hc2	27	
7.53 	0.43 	Hc2	28	
