data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
114	PHC4020017	Cu(NCS)2	kappa-(h8-(BEDT-TTF))2Cu(SCN)2	2	BEDT-TTF							9.17			0				-40.8														OTC114					not s/c down to 1.25 K at P=4.13 kbar.	OTC114.dat		Comparative pressure studies of the superconducting transition temperature in isotopically substituted samples of kappa-(BEDT-TTF)2Cu(SCN)2	2004		Department of Physics, Clarendon Laboratory, Oxford University, Parks Road, Oxford OX1 3PU, UK	Physica C, 402(2004)17	A.-K.Klehe,A.M.Kini,J.A.Schlueter,J.S.Schilling,T.Tomita		
115	SSC0711087	Au(CN)2	(DMET)2Au(CN)2	2	DMET							1			0.15				-0.2																			SDW transition temp.(P=0) = 24.4 K. Structural transition at 180 K (P=0).			Phase diagram of superconductivity and spin density wave in (DMET)2Au(CN)2	1989			Solid State Commu., 71(1989)1087	I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,Y.Honda		
120	PR06111739	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.75			0				-16			10.4		144									OTBL120	OHC120				hydrostatic pressure effect. Tc,Hc by thermal expansion measurements. Hc2(0) = 1.4 T for H//c. cohere<c> = 7.9 A. anisotropy = 330	OTBL120.dat	OHC120.dat	Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
121	PR06111739	Cu(NCS)2	kappa-(d8-BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.95			0			D	-29														OTBL121					details shown in Fig.	OTBL121.dat		Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
122	PR05703084	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.4			0						2	3.4		100		59			18.7	221								(delta-C/gamma*Tc) = 2.1. Sp-heat measured for H perpendicular to conduction layer.			"Specific heat and critical field of the organic superconductor %!""-(BEDT-TTF)2SF5CH2CF2SO3"	1998		Physikalisches Institut, Universitat Karlsruhe, D-76128 Karlsruhe, Germany	Phys.RevB,57(1998)3084-3088	D. Beckmann,D.Beckmann,G.L. Dard,G.L.Gard,J. Hagel,J. Wosniza,J.A. Schlueter,J.A.Schlueter,J.Hagel,J.M. Williams,J.M.Williams,J.Wosnitza,P.G. Nixon,P.G.Nixon,R.W. Winter,R.W.Winter,S. Wanka,S.Wanka		
123	JPS0541236	I3	beta-(BEDT-TTF)2I3	2	BEDT-TTF							8	8	0.13								1.3																isotropic. For H//c*,  Hc2(T=1.5K,P=0.13GPa) = 1.3 T. Hc2(0)=1.7 T(linear extrapolation).  P<cr > not given.			Superconductivity with the onset at 8K in the organic conductor beta-(BEDT-TTF)2I3 under pressure	1985			J.Phys.Soc.Jpn, 54(1985)1236	G.Saito,H.Anzai,H.Bando,K.Kajimura,K.Murata,M.Tokumoto,T.Ishiguro		
124	JPS0720369	GaCl4	ramda-(BETS)2GaCl4		BETS							4.7																										Field-induced s/c. s/c for 17<H<45 T at P=0. Tc shows maximum value under the magnetic field.			Global Phase Diagram of the Magnetic Field-Induced Organic Superconductors ramda-(BETS)2FexGa1-xCl4	2003			J.Phys.Soc.Jpn, 72(2003)369	A.Kobayashi,C.Terakura,F.Sakai,H.Kobayashi,H.Tanaka,J.Brooks,L.Balicas,M.Tokumoto,S.Uji,S.Yasuzuka,T.Terashima,T.Yakabe,Y.Imanaka,Y.Terai		
125	JPS0720369	(Fe,Ga)Cl4	ramda-(BETS)2Fe0.4Ga0.6Cl4		BETS							3.7																										Field-induced s/c. s/c for 5<H<22 T at P=0. Tc shows maximum value under the magnetic field.			Global Phase Diagram of the Magnetic Field-Induced Organic Superconductors ramda-(BETS)2FexGa1-xCl4	2003			J.Phys.Soc.Jpn, 72(2003)369	A.Kobayashi,C.Terakura,F.Sakai,H.Kobayashi,H.Tanaka,J.Brooks,L.Balicas,M.Tokumoto,S.Uji,S.Yasuzuka,T.Terashima,T.Yakabe,Y.Imanaka,Y.Terai		
126	JPS0720369	FeCl4	ramda-(BETS)2FeCl4		BETS							5.5																										Field-induced s/c. s/c for H<10 T at P=0. Tc shows maximum value under the magnetic field.			Global Phase Diagram of the Magnetic Field-Induced Organic Superconductors ramda-(BETS)2FexGa1-xCl4	2003			J.Phys.Soc.Jpn, 72(2003)369	A.Kobayashi,C.Terakura,F.Sakai,H.Kobayashi,H.Tanaka,J.Brooks,L.Balicas,M.Tokumoto,S.Uji,S.Yasuzuka,T.Terashima,T.Yakabe,Y.Imanaka,Y.Terai		
127	PHC3880597	Cu[N(CN)2]Br	kappa-(d4-BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							12			0																							slow cooling sample. Field-induced M-I transition appears for 9.6 K/min cooling sample.			Field-induced superconductor-insulator transition in layered organics	2003		Department of Applied Physics, University of Tokyo, Bunkyo-ku, Tokyo 113-8656, Japan	Physica C, 388(2003)597	A.Kawamoto,H.Taniguchi,K.Kanoda		
128	PR05308879	NH4Hg(SCN)4	alpha-(BEDT-TTF)2NH4Hg(SCN)4	2	BEDT-TTF							0.93						D							1.4													out-of-plane PENET = 1.4 mm.   anisotropy ratio = E+5 -E+6			Highly anisotropic superconductivity in the organic conductor %+-(BEDT-TTF)2 NH4Hg(SCN)4	1996		Institute for Molecular Science and Graduate University for Advanced Study, Okazaki 444, Japan	Phys.Rev.B,53(1996)R8879	H. Sato,H. Taniguchi,H.Sato,H.Taniguchi,K. Kanoda,K.Kanoda,Y. Nakazawa,Y.Nakazawa	Organic	
129	JPS0564241	AuCl2	beta-(DMET)2AuCl2	2	DMET							0.83			0																							R=R0*T**<1.92>. SDW not observed.			Superconductivity in (DMET)2AuCl2 and (DMET)2AuI2	1987			J.Phys.Soc.Jpn, 56(1987)4241	H.Anzai,I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,T.Namiki,Y.Honda		
130	JPS0564241	AuI2	beta-(DMET)2AuI2	2	DMET							0.55			0.5																							R=R0*T**<1.32>. M-I transition at 20K (P=0).			Superconductivity in (DMET)2AuCl2 and (DMET)2AuI2	1987			J.Phys.Soc.Jpn, 56(1987)4241	H.Anzai,I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,T.Namiki,Y.Honda		
131	JPS0562627	AuBr2	beta-(DMET)2AuBr2	2	DMET							1			0.15																							Tc(on) = 1.6 K under P=0.15 GPa. metal-semicond transition at 180 K (P=0).			Superconductivity and the possibility of semiconductor-metal transition in (DMET)2AuBr2	1987			J.Phys.Soc.Jpn, 56(1987)2627	I.Ikemoto,K.Kikuchi,K.Kobayashi,K.Murata,K.Saito,T.Ishiguro,T.Namiki,Y.Honda		
132	PR0301282	FSO3	(TMTSF)2FSO3	2	TMTSF							1.3	1.6	0.7	0.5				-1.1																			anisotropic behaviour. Tc by susceptibility.			Evidence for diamagnetism in (TMTSF)2FSO3 (bis-tetramethyltetrathiafulvalenium fluorosulfate) at low temperature under pressure	1984			Phys.Rev.B, 30(1984)1282	F.Gross,F.Wudl,H.Schwenk,J.Brennan,K.Andres,S.D.Cox		
133	MCL0790155	AsF6	(TMTSF)2AsF6		TMTSF							1.1			1.1																							M-I transition temp. = 12K (P=0).			Organic superconductors: A survey of low dimensional phenomena	1982			Mol.Cryst.Liq.Cryst., 79(1982)155	D.Jerome		
134	MCL0790155	PF6	(TMTSF)2PF6		TMTSF							1.2			0.85																										Organic superconductors: A survey of low dimensional phenomena	1982			Mol.Cryst.Liq.Cryst., 79(1982)155	D.Jerome		
135	MCL0790155	NO3	(TMTSF)2NO3		TMTSF															0.05																		not s/c (P= 8 kbar, Tc < 50 mK). M-I transition temp = 11 K (P=0) go to 0 K at P=8 kbar.			Organic superconductors: A survey of low dimensional phenomena	1982			Mol.Cryst.Liq.Cryst., 79(1982)155	D.Jerome		
136	SSC1040571	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.46			0				-13.4																			Tc = 4.45 - 1.34*P + 0.056*P^2 (P in kbar).			Dependence of Tc on hydrostatic pressure in beta''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2	1997			Solid State Commun., 104(1997)571	G.L.Gard,G.Looney,J.A.Schlueter,J.M.Williams,J.S.Schilling,P.G.Nixon,R.W.Winter,S.Sadewasser		
137	SYN0552865	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11			0										210													penet// plane in micron-m.			Magnetic penetration depth of the kappa-phase family of organic superconductors  	1993			Synth.Met., 55-57(1993)2865	K.Ikeda,K.Kanoda,T.Takahashi,Y.Tsubokura,et al		
138	SYN0552865	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF										0										210													PENET// plane in micron-m.			Magnetic penetration depth of the kappa-phase family of organic superconductors  	1993			Synth.Met., 55-57(1993)2865	K.Ikeda,K.Kanoda,T.Takahashi,Y.Tsubokura,et al		
139	SYN0552865	Ag(CN)2H2O	kappa-(BEDT-TTF)2Ag(CN)2H2O	2	BEDT-TTF							5			0										80													PENET// plane in micron-m.			Magnetic penetration depth of the kappa-phase family of organic superconductors  	1993			Synth.Met., 55-57(1993)2865	K.Ikeda,K.Kanoda,T.Takahashi,Y.Tsubokura,et al		
140	SYN0552865	AuI2	kappa-(MDT-TTF)2AuI2	2	MDT-TTF	10.797	7.789	28.991				3.5			0										20													PENET// plane in micron-m. Tc, structure data from Synth.Met., 27B(1988)379.			Magnetic penetration depth of the kappa-phase family of organic superconductors  	1993			Synth.Met., 55-57(1993)2865	K.Ikeda,K.Kanoda,T.Takahashi,Y.Tsubokura,et al		
141	JPL0420051	PF6	(TMTSF)2PF6		TMTSF							0.9	0.9	0.9	0.9				-0.59				0.008															Tc(P=24kbar) = 0.19K. TBL value of (dHc2/dT) is for P=24 kbar, H perpendicular. (dTc/dT) = 0.0222 T/K at P=12 kbar.			Pressure dependence of the organic superconductivity in (TMTSF)2PF6	1981			J.Phys.Lett., 42(1981)L-51	A.Mazaud,D.Jerome,H.J.Schulz,M.Ribault		
150	ACS1230306	4-Feb	kappa-(BETS)2FeBr4		BETS	11.787	36.607	8.504				1.1			0																-5.5	2.5	OTC150					structural transformation at 60-140 K. Coexistence of SC and AF. density = 2.751 g/cm3. Curie-C = 4.70 K.emu/mol.	OTC150.dat		A novel antiferromagnetic organic superconductor kappa-(BETS)2FeBr4 	2001			J.Am.Chem.Soc., 123(2001)306	A.Kobayashi,B.Zh.Narymbetov,E.Fujiwara,H.Fujiwara,H.Kobayashi,K.Kato,M.Tokumoto,P.Cassoux,Y.Nakazawa		
151	AC11712209	[(H2O)Fe(C2O4)3]:PhCN	beta''-(BEDT-TTF)2[(H2O)Fe(C2O4)3]:PhCN		BEDT-TTF							7			0																							PhCN=C6H5CN			Superconducting and semiconducting magnetic charge transfer salts: (BEDT-TTF)4AFe(C2O4)3.C6H5CN (A=H2O, K, NH4)	1995			J.Am.Chem.Soc., 117(1995)12209	A.W.Graham,F.L.Pratt,J.L.Caulfield,J.Singleton,L.Ducasse,M.B.Hursthouse,M.Kurmoo,P.Day,P.Guionneau,S.J.Coles,W.Hayes		
152	P070094514	4-Feb	kappa-(BETS)2FeBr4		BETS							1.4			0							16.3		280									OTC152-1	OTC152-2				Field-induced SC appear under high fields besides conventional SC. COHERE correspond to FISC. COHERE<c> = 42 A.	OTC152-1.dat	OTC152-2.dat	Magnetic-field-induced superconductivity in the antiferromagnetic organic superconductor kappa-(BETS)2FeBr4	2004		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 70(2004)94514	B.Zhang,H.Fujiwara,H.Kobayashi,K.Enomoto,M.Nishimura,S.Uji,S.Yasuzuka,T.Konoike,T.Terashima		
153	P070092508	FeCl4	ramda-(BETS)2FeCl4		BETS							5.6			0.14																		OTC153					For H=0, 3<SC-region<5.6 K. at P=1.4 kbar. Field-induced SC region shown in Fig.	OTC153.dat		Pressure-induced enhancement of the transition temperature of the magnetic-field-induced superconducting state in ramda-(BETS)2FeCl4	2004		National High Magnetic Field Laboratory, Florida State University, Tallahassee, Florida 32306, USA	Phys.Rev.B, 70(2004)92508	A.Kobayashi,H.Kobayashi,H.Tanaka,J.S.Brooks,K.Storr,L.Balicas,M.Tokumoto,S.Uji,V.Barzykin		
154	POL0222307	4-Feb	kappa-(BETS)2FeBr4		BETS																											2.7									muon-SR studies of magnetic superconductors based on the BETS molecule	2003			Polyhedron, 22(2003)2307	A.Drew,F.L.Pratt,H.Matsui,I.M.Marshall,N.Toyota,S.J.Blundell,S.L.Lee,T.Lancaster,U.Divakar		
155	POL0222307	FeCl4	kappa-(BETS)2FeCl4		BETS																											0.45									muon-SR studies of magnetic superconductors based on the BETS molecule	2003			Polyhedron, 22(2003)2307	A.Drew,F.L.Pratt,H.Matsui,I.M.Marshall,N.Toyota,S.J.Blundell,S.L.Lee,T.Lancaster,U.Divakar		
156	PHB2890396	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(SCN)2		BEDT-TTF							9.2			0										0.54													PENET// by muon-SR.			BEDT-TTF superconductors studied by muon-SR 	2000			Physica B, 289-290(2000)396	A.Ager,A.Husmann,B.W.Lovett,E.Laukhina,F.L.Pratt,F.Y.Ogrin,I.M.Marshall,I.Watanabe,K.Kanoda,K.Nagamine,N.Toyoto,S.Endo,S.J.Blundell,S.L.Lee,T.Sasaki,V.N.Laukhin,W.Hayes		
157	POL0222307	GaCl4	ramda-(BETS)2GaCl4		BETS							5.46			0										0.725													PENET// by muon-SR.			muon-SR studies of magnetic superconductors based on the BETS molecule	2003			Polyhedron, 22(2003)2307	A.Drew,F.L.Pratt,H.Matsui,I.M.Marshall,N.Toyota,S.J.Blundell,S.L.Lee,T.Lancaster,U.Divakar		
158	PHB2890396	IBr2	beta-(BEDT-TTF)2IBr2		BEDT-TTF							2.2			0										0.86													PENET// by muon-SR.			BEDT-TTF superconductors studied by muon-SR 	2000			Physica B, 289-290(2000)396	A.Ager,A.Husmann,B.W.Lovett,E.Laukhina,F.L.Pratt,F.Y.Ogrin,I.M.Marshall,I.Watanabe,K.Kanoda,K.Nagamine,N.Toyoto,S.Endo,S.J.Blundell,S.L.Lee,T.Sasaki,V.N.Laukhin,W.Hayes		
159	PHB2890396	NH4Hg(SCN)4	alpha-(BEDT-TTF)2NH4Hg(SCN)4		BEDT-TTF							1.1			0										1.1													PENET// by muon-SR.			BEDT-TTF superconductors studied by muon-SR 	2000			Physica B, 289-290(2000)396	A.Ager,A.Husmann,B.W.Lovett,E.Laukhina,F.L.Pratt,F.Y.Ogrin,I.M.Marshall,I.Watanabe,K.Kanoda,K.Nagamine,N.Toyoto,S.Endo,S.J.Blundell,S.L.Lee,T.Sasaki,V.N.Laukhin,W.Hayes		
160	POL0222307	GaCl4	kappa-(BETS)2GaCl4		BETS							0.16			0										2.27													PENET// by muon-SR.			muon-SR studies of magnetic superconductors based on the BETS molecule	2003			Polyhedron, 22(2003)2307	A.Drew,F.L.Pratt,H.Matsui,I.M.Marshall,N.Toyota,S.J.Blundell,S.L.Lee,T.Lancaster,U.Divakar		
161	PRL0791563	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(SCN)2		BEDT-TTF																				0.43													PENET// by muon-SR.			Investigation of vortex behavior in the organic supercondutor kappa-(BEDT-TTF)2Cu(SCN)2 using muon spin rotation	1997			Phys.Rev.Lett., 79(1997)1563	C.M.Aegerter,E.M.Forgan,F.L.Pratt,H.Keller,K.H.Chow,P.A.Pattenden,S.J.Blundell,S.L.Lee,T.Sasaki,W.Hayes		
162	PRL0641293	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(SCN)2		BEDT-TTF	16.248	8.44	13.124		110.3		9			0										0.98													PENET// by muon-SR. PENET(London) = 5100 A estimated. Hc1(0) also estimated to be 7 Oe.			Magnetic penetration depth in the organic superconductor kappa-[BEDT-TTF)2Cu[NCS]2	1990			Phys.Rev.Lett., 64(1990)1293	D.B.Mitzi,D.Li.Williams,D.R.Harshman,L.W.Rupp,M.L..Kaplan,R.C.Haddon,R.N.Kleiman,S.V.Chichester-Hicks,T.Pfiz		
163	PHC2300378	Cu(CF3)4(TCE)	kappa<L>-(BEDT-TTF)2Cu(CF3)4(TCE)		BEDT-TTF	13.169	38.031	8.5388				4			0				-25																			plate-like crystal.			A new 9 K superconducting organic salt composed of the bis(ethylenedithio)tertrathiafulvalene (ET) electron-donor molecule and the tetrakis(trifluoromethyl)cuprate(III) anion[Cu(CF3)4]-	1994			Physica C (1994) 378-384	A.S.Komosa,C.A.Achenbach,D.Naumann,H.H.Wang,J.A.Fendrich,J.A.Schlueter,J.D.Dudek,J.E.Schirber,J.M.Williams,K.D.Carlson,P.M.Keane,T.Roy,U.Geiser,U.Welp,W.R.Bayless,w.-K.Kwok	Organic	
164	PHC2300378	Cu(CF3)4(TCE)	kappa<H>-(BEDT-TTF)2Cu(CF3)4(TCE)		BEDT-TTF							9.2			0				-30																			needle-like crystal. Meissner volume = 70 %.			A new 9 K superconducting organic salt composed of the bis(ethylenedithio)tertrathiafulvalene (ET) electron-donor molecule and the tetrakis(trifluoromethyl)cuprate(III) anion[Cu(CF3)4]-	1994			Physica C (1994) 378-384	A.S.Komosa,C.A.Achenbach,D.Naumann,H.H.Wang,J.A.Fendrich,J.A.Schlueter,J.D.Dudek,J.E.Schirber,J.M.Williams,K.D.Carlson,P.M.Keane,T.Roy,U.Geiser,U.Welp,W.R.Bayless,w.-K.Kwok	Organic	
165	PHC2330379	Ag(CF3)4(TCE)	kappa<L>-(BEDT-TTF)2Ag(CF3)4(TCE)		BEDT-TTF	13.175	38.174	8.5951				2.6			0																							plate-like crystal.			Superconductivity up to 11.1 K in three solvated salts composed of [Ag(CF3)4](-) and the organic electron-donor molecule bis(ethylenedithio)tetrathiafulvalene(ET)	1994			Physica C.233(1994) 379-386	A.S.Komosa,B.Dodrill,D.Naumann,H.H.Wang,J.A.Fendrich,J.A.Schlueter,J.D.Dudek,J.E.Schirber,J.M.Williams,K.D.Carlson,P.M.Keane,T.Roy,U.Geiser,U.Welp,W,-K.Kwok,W.R.Bayless	organic	
166	PHC2330379	Ag(CF3)4(TCE)	kappa<H>-(BEDT-TTF)2Ag(CF3)4(TCE)		BEDT-TTF							11.1			0				-19																			needle-like crystal.			Superconductivity up to 11.1 K in three solvated salts composed of [Ag(CF3)4](-) and the organic electron-donor molecule bis(ethylenedithio)tetrathiafulvalene(ET)	1994			Physica C.233(1994) 379-386	A.S.Komosa,B.Dodrill,D.Naumann,H.H.Wang,J.A.Fendrich,J.A.Schlueter,J.D.Dudek,J.E.Schirber,J.M.Williams,K.D.Carlson,P.M.Keane,T.Roy,U.Geiser,U.Welp,W,-K.Kwok,W.R.Bayless	organic	
167	PHC2330379	Ag(CF3)4(TCE)	kappa<H>-(BEDT-TTF)2Ag(CF3)4(TCE)		BEDT-TTF							9.4			0																							needle-like crystal. second phase.			Superconductivity up to 11.1 K in three solvated salts composed of [Ag(CF3)4](-) and the organic electron-donor molecule bis(ethylenedithio)tetrathiafulvalene(ET)	1994			Physica C.233(1994) 379-386	A.S.Komosa,B.Dodrill,D.Naumann,H.H.Wang,J.A.Fendrich,J.A.Schlueter,J.D.Dudek,J.E.Schirber,J.M.Williams,K.D.Carlson,P.M.Keane,T.Roy,U.Geiser,U.Welp,W,-K.Kwok,W.R.Bayless	organic	
168	JTL0390328	I3	(BEDT-TTF)2I3		BEDT-TTF	13.8	14.7	33.6				2.5			0																							conductivity(300K) = 20 /Ohm.cm.  Hc2 for H//a,b,c were measured.			Superconducting properties of the orthorhombic phase of bis-(ethylenedithiolo)tetrathiofulvalene triiodide	1984			JETP Lett., 39(1984)328	A.V.Zvarykina,E.B.Yagubskii,I.F.Shchegolev,M.V.Kartsovnik,P.A.Kononovich,S.I.Pesotskii,V.N.Laukhin		
169	JTL0450530	Hg3Br8	(BEDT-TTF)4Hg3Br8		BEDT-TTF							4.5			0																							Tc(off) = 2 K. For I//ab, Tc(on) = 4 K and Tc(off) = 1.4 K.			Is the organic metal (ET)4Hg3Br8 a quasi-2D superconductor?	1987			JETP Lett., 45(1987)530	A.V.Zvarykina,E.A.Zhilyaeva,R.B.Lyubovskii,R.N.Lyubovskaya,S.I.Pesotskii,V.N.Laukhin		
170	SYN0851557	Cu[N(CN)2]Br	(BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							11			0						7	12																Hirr(0)=12 T for H perpendicular. not Hc2			Superconducting and mixed-state properties of kappa-(ET)2X	1997			Synth.Met., 85(1997)1557	D.Beckmann,D.Schweitzer,E.Balthes,H.J.Keller,J.Hagel,J.Wosnitza,S.Wanka,W.Strunz		
171	SYN0851557	Cu(NCS)2	(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.1			0						9																	For H perpendicular to plane, Hc1(0)=0.18 mT. description of H-direction confused.			Superconducting and mixed-state properties of kappa-(ET)2X	1997			Synth.Met., 85(1997)1557	D.Beckmann,D.Schweitzer,E.Balthes,H.J.Keller,J.Hagel,J.Wosnitza,S.Wanka,W.Strunz		
172	SYN0851557	I3	(BEDT-TTF)2I3		BEDT-TTF							3.5			0						4																	For H perpendicular to plane, Hc1(0)=0.05 mT. description of H-direction confused.			Superconducting and mixed-state properties of kappa-(ET)2X	1997			Synth.Met., 85(1997)1557	D.Beckmann,D.Schweitzer,E.Balthes,H.J.Keller,J.Hagel,J.Wosnitza,S.Wanka,W.Strunz		
175	ADV0070634	Cu(CF3)4	kappa<L>-(BEDT-TTF)2Cu(CF3)4(TCE)		BEDT-TTF							4			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
176	ADV0070634	Cu(CF3)4	kappa<L>-(BEDT-TTF)2Cu(CF3)4(112DCBE)		BEDT-TTF							4.8			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
177	ADV0070634	Cu(CF3)4	kappa<L>-(BEDT-TTF)2Cu(CF3)4(TBE)		BEDT-TTF							5.2			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
178	ADV0070634	Ag(CF3)4	kappa<L>-(BEDT-TTF)2Ag(CF3)4(TCE)		BEDT-TTF							2.4			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
179	ADV0070634	Ag(CF3)4	kappa<L>-(BEDT-TTF)2Ag(CF3)4(121DCBE)		BEDT-TTF							3.8			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
180	ADV0070634	Ag(CF3)4	kappa<L>-(BEDT-TTF)2Ag(CF3)4(112DCBE)		BEDT-TTF							4.1			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
181	ADV0070634	Ag(CF3)4	kappa<L>-(BEDT-TTF)2Ag(CF3)4(121DBCE)		BEDT-TTF							4.5			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
182	ADV0070634	Ag(CF3)4	kappa<H>-(BEDT-TTF)2Ag(CF3)4(112DCBE)		BEDT-TTF							10.2			0																										Seven new organic superconductors in the system (ET)2M(CF3)4(solvent) (M=Cu,Ag): Effect of solvent replacement	1995			Adv.Mater., 7(1995)634	C.F.Campana,D.Naumann,J.A.Schlueter,J.D.Dudek,J.M.Williams,K.D.Carlson,M.E.Kelly,S.A.Sirchio,T.Roy,U.Geiser		
185	PR05308875	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl		BEDT-TTF																								0	219								Tc=13K under 300 < P < 600 bar after PR04915849.			Electronic structure of insulating sals of the k-(BEDT-TTF)2X fzmily studied by low-temperature specific-heat measurements	1996		Institute for Molecular Science, Myodaiji, Okazaki 444, Japan	Phys.Rev.B,53(1996)R8875	K.Kanoda,Y.Nakazawa	Organic	
186	PR05308875	Cu[N(CN)2]Br	kappa-(d8-BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							11.5			0														0	212								Tc=11.5 K at P=0 GPa from the papers.			Electronic structure of insulating sals of the k-(BEDT-TTF)2X fzmily studied by low-temperature specific-heat measurements	1996		Institute for Molecular Science, Myodaiji, Okazaki 444, Japan	Phys.Rev.B,53(1996)R8875	K.Kanoda,Y.Nakazawa	Organic	
