data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
11	PR04404666	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl	2	BEDT-TTF							12.8	12.8	0.03	0.03				-32																			isotope effect(H-D) shows inverse effect (See Fig).			Pressure-temperature phase diagram, inverse isotope effect, and superconductivity in excess of 13 K in kappa-(BEDT-TTF)2Cu[N(CN)2]Cl, where BEDT-TTF is bis(ethylenedithio)tetrathiafulvalene	1991		Sandia National Laboratories, Albuquerque, New Mexico,USA	Phys.Rev.B, 44(1991)4666	A.M.Kini,B.J.Love,D.L.Overmyer,D.M.Watkins,G.A.Yaconi,H.A.Charlier,H.Hau Wang,J.E.Schirber,J.M.Williams,K.D.Carlson		
12	PHC1520157	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF														-30																						EFFEDT OF PRESSURE ON THE SUPERCONDUCTING TRANSITION TEMPERATURE OF K(BEDT-TTF)2CU(NCS)2	1988			PHYSICA C,152(1988)157	A.M.Kini,E.L.Venturini,H.H.Wang,J.E.Schirber,J.M.Williams,J.R.Ehitworth,KINI.A.M,SCHIRBER.J.E,VENTURINI.E.L,WANG.H.H,WHITWORTH.J.R,WILLIAMS.J.M		
13	PHC1700231	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF														-24																						PRESSURE DEPENDENCE OF TC IN THE HIGHEST TC ORGANIC SUPERCONDUCTOR K-(BEDT-TTF)2CU(N(CN)2) BR	1990		SANDIA NATIONAL LABORATORIES, ALBUQUERQUE, NM 87185, USA	PHYSICA C,170(1990)231	A.M.KINI,A.M.Kini,D.L.OVERMYER,D.L.Overmyer,H.H.WAMG,H.H.Wang,J.E.SCHIRBER,J.E.Schirber,J.M.WILLIAMS,J.M.Williams		
14	PHC4000059	ClO4	(TMTSF)2ClO4		TMTSF							1.15			0										1.23													Tc and lamda<ab> are obtained by fitting of muon-SR data.			Muon spin rotation study of the (TMTSF)2ClO4 system	2003		Department of Physics, Gonzaga University, 502 E. Boone Avenue, Spokane, WA 99258-0051, USA	Physica C, 400(2003)59	A.Goonewardene,A.J.Greer,D.Ll.Williams,D.R.Harshman,E.Koster,R.C.Haddon,R.N.Kleiman,W.J.Kossler,W.Kang		
15	P067174511	SbF6	beta-(BDA-TTP)2SbF6		BDA-TTP							6.5			0														33									delta-C/gamma*Tc = 1.1.  dHvA effect measured.			Fermiology and superconductivity studies on the non-tetrachalcogenafulvalene-structured organic superconductor beta-(BDA-TTP)2SbF6	2003		National High Magnetic Field Laboratory, Florida State University, Tallahassee, Florida,USA	Phys.Rev.B, 67(2003)174511	A.Wade,E.Goetz,E.Jobilong,E.S.Choi,J.S.Brooks,J.Yamada,M.Tokumoto,T.Kinoshita,T.Mizutani		
16	PHC3310292	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.5			0							11.3	1.6	54	0.48	71												Hc2 calculated based on magnetization curves.			Magnetization study of organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2	2000		National Creative Research Initiative Center for Superconductivity, Department of Physics, Pohang University of Science and Technology, Pohang, Kyungbuk 790-784, South Korea	Physica C,331(2000)292-296	H-J.Kim,Hyeong-Jin Kim,Jae-Hyuk Choi,Jin-Tae Kim,Mun-Seog Kim,Sung-Ik Lee		
17	P063104518	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							10.4			0												6.7	1										gap in b-c plane.			Tunneling spectroscopy on the organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2 using STM	2001		Division of Physics, Hokkaido University, Sapporo 060-0810, Japan	Phys.Rev.B, 63(2001)104518	H.Anzai,J.Yamada,K.Ichimura,K.Nomura,S.Nakatsuji,S.Takasaki,T.Arai		
18	P065140508	AuI2	(MDT-TSF)(AuI2)0.44	2	MDT-TSF	4.016		12.513				4.5			0									262						300			OHC18					incommensurate chain structure. cohere< b >=100 A. cohere< c >=50 A.	OHC18.dat		Organic superconductor with an incommensurate anion structure: (MDT-TSF)(AuI2)0.44	2002		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, O-okayama, Meguro-ku, Tokyo 152-8552, Japan	Phys.Rev.B, 65(2002)140508	K.Takimiya,T.Kawamoto,T.Mori,T.Otsubo,Y.Aso,Y.Kataoka		
19	P065064516	Cu[N(CN)2]I	kappa-(BEDT-TTF)2Cu[N(CN)2]I	2	BEDT-TTF							7.7	7.7	0.12	0.12				-17	1.2			5.45	113									OHC19					conducting plane = ac-plane. SC properties are at P=0.12 GPa. For H//b, cohere(b) = 8 A,  (dHc2/dT) = 0.38 T/K at Tc.	OHC19.dat		Pressure-temperature phase diagram of the organic superconductor kappa-(BEDT-TTF)2Cu[N(CN)2]I	2002		Department of Physics, Kyoto University, Kyoto 606-8502, Japan	Phys.Rev.B, 65(2002)64516	E.B.Yagubskii,M.A.Tanatar,N.D.Kushch,S.Kagoshima,T.Ishiguro		
20	JPS0721014	Au(CN)4	theta-(DIETS)2[Au(CN)4]	3	DIETS							8.6	8.6	1	0.65																							not s/c for a- and b-uniaxial pressure. s/c only for c-axial pressure. M-I transition temperature decreases linearly with increasing P(c-axis). T<MI> = 14 K at P(c-axis) = 6.5 kbar.			Uniaxial Strain Effects on Transport Properties of a Supramolecular Organic Conductor theta-(DIETS)2[Au(CN)4]	2003		Condensed Molecular Materials Laboratory, RIKEN, Wako, Saitama, Japan	J.Phys.Soc.Jpn, 72(2003)1014	K.Kajita,N.Tajima,R.Kato,T.Imakubo,Y.Nishino		
